论文stem,模型,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,gemini,6814,6094,44,29,7.2202,4.7588,0.6591
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,gemini,36848,30467,67,58,2.1991,1.9037,0.8657
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,gemini,13585,10205,31,19,3.0377,1.8618,0.6129
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,gemini,13044,11328,64,49,5.6497,4.3256,0.7656
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,gemini,43982,36814,91,70,2.4719,1.9015,0.7692
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,gemini,6683,5898,61,45,10.3425,7.6297,0.7377
飞机空调冷却子系统故障预测_MinerU__20250913053938,gemini,24658,15722,35,19,2.2262,1.2085,0.5429
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,gemini,40104,33139,122,51,3.6815,1.5390,0.4180
飞机维修系统的演变_MinerU__20250913053201,gemini,5927,5305,54,42,10.1791,7.9171,0.7778
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,gemini,12421,9688,33,21,3.4063,2.1676,0.6364
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,gemini,5569,3586,37,23,10.3179,6.4138,0.6216
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,gemini,8733,5661,24,17,4.2395,3.0030,0.7083
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,gemini,14698,11969,56,22,4.6788,1.8381,0.3929
