type,count
从...采集信息,1
从12.7%降至0.32%,1
以...为例,1
以...为标准架构,1
以...为核心,1
任务是构建,1
任务是补充和丰富,1
仿真了,1
优选参数,1
估计结果优于,1
作为,1
作为...手段引入,1
作为...的数据驱动建模工具和方法,1
作为...的输入,1
作为...输出,1
作为标准设备校准和考核,1
使...精度成倍提高,1
使用,1
使用...建立,1
使用...开发,1
使用...拟合,1
使用...监控,1
使用...进行,1
使用...进行分类,1
依托,1
依据...提取,1
修正,1
借助于...实现,1
关键是确定,1
具备...能力,1
具有特性,1
具有重要意义于,1
决定了,1
减少了...的数量,1
分析,1
分析解释,1
分解为...基本模式分量(IMF),1
分辨率低于,1
利用...处理非线性问题,1
利用...实现,1
利用...建立,1
利用...开发,1
利用...查询,1
利用...进行建模和分析,1
利用...进行规划,1
利用传感器网络监测...机翼结构,1
制约了...的实施,1
剪裁得到,1
包含(中间层),1
包含(底层),1
升级为,1
占故障总数的,1
原因在于,1
发挥...优势,1
发生在,1
取得适航证于,1
取消,1
只需测量,1
可与...连接,1
可以实现,1
可以支持,1
可以降低,1
可使用...求解,1
可在较少计算量下获得,1
可实时评估,1
可导致,1
可将...转变为,1
可应用到,1
可有效监测,1
可有效防止,1
可用...求解,1
可用于快速发现,1
可用于检查,1
可用于求解,1
可用于预报,1
可结合,1
可通过分析...得到,1
可集成在,1
向...发出维修请求,1
向...发出诊断请求,1
因...要求而产生,1
在...上进行,1
在...中优于,1
在...中准确率超过,1
在...中平均绝对误差降低至,1
在...中构建,1
在...基础上增加,1
在...平台实施,1
在...状态下最优分布为,1
在...进行产品飞行验证,1
在F-16B试验机上验证了...应用可行性,1
在标准误差上低于,1
在相对误差上低于,1
在精度上高于,1
均值为,1
埋入了,1
基于...建立,1
基于...开发,1
基于...技术,1
基于...融合,1
基于...计算,1
基于...进行评估,1
基础是,1
增大,1
大大减少了,1
存在局限性,1
存在最优值影响,1
安装,1
实现了,1
实现转向,1
宿驻在,1
对...具有重要意义,1
对...敏感,1
对低压涡轮出口总温推广验证的最大相对误差为,1
对低压涡轮出口总温辨识的最大相对误差为,1
对应,1
对比...可以完善,1
对滑油回油温度推广验证的最大相对误差为,1
对滑油回油温度辨识的最大相对误差为,1
对高压压气机出口压力推广验证的最大相对误差为,1
对高压压气机出口压力辨识的最大相对误差为,1
对高压转子转速推广验证的最大相对误差为,1
对高压转子转速辨识的最大相对误差为,1
将...转化为,1
将健康状态信息提供给,1
将数据转换为,1
小于,1
尚难于使用于,1
嵌入,1
带有,1
平均相对误差低于,1
并行工作,1
应用,1
应用于...实时传输,1
开发工具是,1
开始于,1
开展...在航空航天中的应用研究,1
开展...在飞机上应用的可行性研究,1
引发,1
引起破坏,1
影响性能,1
影响较大,1
必须进行,1
性能有较大改善于,1
成为,1
成为...的组成部分,1
成功应用于,1
拟合,1
指导...跟踪,1
探讨了,1
接收...评估结果,1
推动...向...转变,1
推进,1
描述,1
提交...给,1
提供决策支撑,1
提供思路,1
提供数据基础,1
提出...以解决,1
提出一种,1
提出挑战,1
提出机构,1
提出用于,1
提升,1
提升了76.8%,1
改变,1
改进了,1
改进形成,1
效果显著,1
敏感性较低,1
整体性能较优,1
无法满足要求,1
无法胜任监控任务,1
旨在减少,1
旨在形成,1
旨在研究,1
是...中的专用模块,1
是...主要来源,1
是...发展的最高阶段,1
是...在民用领域的应用,1
是...基础技术之一,1
是...常用方法,1
是...最常见的,1
是...核心,1
是...核心技术之一,1
是...的主流方法,1
是...的主要因素之一,1
是...的主要部分,1
是...的关键使能技术,1
是...的基本模型,1
是...的大脑中枢,1
是...的延伸,1
是...的推广,1
是...的新发展,1
是...的最优估计,1
是...的最佳配置,1
是...的最重要影响特征,1
是...的构造方法,1
是...的模块化版本,1
是...的电能来源,1
是...的研究对象,1
是...的神经中枢,1
是...的组成部分,1
是...的统一,1
是...的缩写,1
是...的重要内容,1
是...的重要基础,1
是...的重要手段,1
是...的重要环节,1
是...的重要组成部分,1
是...的雏形,1
是...的骨干网络,1
是...重要基础,1
是一种...的提升,1
是一种实用的,1
是实现...的关键技术,1
是更高级的技术,1
是最具代表性的技术,1
是核心任务,1
是核心部件,1
是简化版本,1
显示出,1
显著减少了,1
更适合于,1
替代了,1
最多,1
最大,1
最小,1
最少,1
最短,1
最符合,1
最适用于,1
最长,1
有助于实现,1
有助于避免,1
有很强的减益作用于,1
有机结合,1
有重大的影响,1
未来工作-实现方式,1
未来工作-连接,1
构建了,1
样本点上最大相对误差在...以内,1
核心模块为,1
根据...设计,1
格式化,1
正向影响,1
正相关于,1
比...具有更高的估计精度,1
求得,1
源于,1
率先用在,1
用...度量,1
用于...性能评估,1
用于...故障诊断,1
用于...的仿真分析,1
用于...趋势预测,1
用于...风险预测,1
用于估计,1
用于分析评估,1
用于分类,1
用于分解,1
用于在线修正,1
用于建模,1
用于建立,1
用于建立模型,1
用于弥补,1
用于拟合,1
用于提取,1
用于搭建,1
用于数据采集、记录与显示,1
用于模拟,1
用于测试,1
用于研究,1
用于研究...的变化模型,1
用于确定,1
用于筛选,1
用于解决,1
用于验证,1
用于验证...的推广能力,1
由...供应配置,1
由...决定,1
由...提出来,1
由...模拟,1
的AUC值为,1
的RUL预测值10%置信区间是,1
的RUL预测值5%置信区间是,1
的主要失效模式是,1
的主要故障类型是,1
的平均CPU占用率是,1
的平均内存占用率是,1
的研究实现了,1
的稳定性评估指标值是,1
目标是,1
目标是实现,1
目的为解决,1
目的在于获取,1
直接引发,1
相比...具有实时性,1
相比...减少维修次数,1
研制,1
研发,1
研究...在军用飞机上应用的可行性,1
研究...的拟合质量,1
研究了,1
研究对象,1
确定,1
确定...最佳分布为,1
符合,1
组成时间序列,1
结合...需求,1
维修技巧包括,1
维修需要,1
综合功能,1
综述,1
综述了,1
缩短,1
能准确明显地反映损伤情况,1
能够实现,1
能够描述,1
能够显著提高,1
能够预测,1
能有效判断,1
航线维修间隔比...高400小时,1
节省费用,1
融入到,1
融合了,1
补充,1
表征,1
被视为,1
被选为,1
装备,1
装有,1
覆盖,1
解决...需要大量布线的问题,1
计算占用时间少于,1
训练后得出,1
论证了可行性,1
设计用于,1
评价对象,1
评价标准,1
评价结果,1
评估出,1
评定对象,1
评定结果,1
诊断出,1
诊断正确率高于,1
负向影响,1
超过,1
转向,1
转换SysML参数约束为...输入,1
辅助结合,1
达到准确性,1
运用...建模,1
运用...解出,1
进行了飞行演示验证于,1
进行仿真验证,1
进行修正,1
连接到,1
适于,1
适用,1
选用,1
选用...传感器,1
选用...进行建模,1
通过...产生,1
通过...成为,1
通过...梳理,1
通过...筛选出,1
通过...解决,1
通过...进行,1
通过...进行信息交互,1
通过实例计算验证了,1
通过监测,1
通过监测...预测,1
通过计算,1
避免,1
配备有,1
采取措施,1
采用...估计,1
采用...学习,1
采用...实现交互与共享,1
采用...开发,1
采用...描述,1
采用...来预测、监控和管理健康状态,1
采用...构建,1
采用...确定权值,1
采用...管理,1
采用...设计,1
采用...识别,1
采用...跟踪,1
采用...进行学习训练,1
采用...进行训练,1
采用...预测,1
采用了,1
采用数据集,1
采集并传输,1
针对...提出,1
限制了...在实时监控中的应用,1
隔离...至,1
集成于(顶层),1
需与...相结合,1
需理清功能边界,1
需要,1
预判,1
预测...有效,1
预测的RUL值是,1
预计,1
首次提出,1
验证了,1
验证了...的有效性,1
验证于,1
