model,paper,entity_correct,entity_total,entity_accuracy,relation_correct,relation_total,relation_accuracy,overall_correct,overall_total,overall_accuracy,error
gemini,机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,30,30,1.0,16,18,0.8889,46,48,0.9583,
gemini,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,23,23,1.0,6,18,0.3333,29,41,0.7073,
gemini,航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,31,35,0.8857,14,20,0.7,45,55,0.8182,
gemini,航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,25,25,1.0,4,17,0.2353,29,42,0.6905,
gemini,航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,45,45,1.0,19,20,0.95,64,65,0.9846,
gemini,航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,23,23,1.0,9,17,0.5294,32,40,0.8,
gemini,航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,45,45,1.0,9,32,0.2812,54,77,0.7013,
gemini,航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,22,22,1.0,19,20,0.95,41,42,0.9762,
gemini,航空机电作动器健康管理验证系统研究_MinerU__20250913053120,25,25,1.0,15,17,0.8824,40,42,0.9524,
gemini,航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,48,48,1.0,27,28,0.9643,75,76,0.9868,
gemini,航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,21,21,1.0,11,11,1.0,32,32,1.0,
gemini,航空电子设备故障预测框架与方法_MinerU__20250913053514,24,24,1.0,15,17,0.8824,39,41,0.9512,
gemini,航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,19,22,0.8636,6,8,0.75,25,30,0.8333,
gemini,航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,18,20,0.9,14,14,1.0,32,34,0.9412,
gemini,飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,13,13,1.0,7,7,1.0,20,20,1.0,
gemini,飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,60,60,1.0,44,48,0.9167,104,108,0.963,
gemini,飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,16,16,1.0,15,15,1.0,31,31,1.0,
gemini,飞机发动机故障的多参数预测模型_MinerU__20250913053628,22,22,1.0,7,10,0.7,29,32,0.9062,
gemini,飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,16,16,1.0,7,10,0.7,23,26,0.8846,
gemini,飞机性能参数预测的不确定性处理_MinerU__20250913053204,22,22,1.0,11,11,1.0,33,33,1.0,
gemini,飞机操纵面故障的多参数预测模型_MinerU__20250913053608,18,20,0.9,7,12,0.5833,25,32,0.7812,
gemini,飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,29,29,1.0,17,20,0.85,46,49,0.9388,
gemini,飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,12,12,1.0,6,9,0.6667,18,21,0.8571,
gemini,飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,25,31,0.8065,19,19,1.0,44,50,0.88,
gemini,飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,31,35,0.8857,16,18,0.8889,47,53,0.8868,
gemini,飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,24,24,1.0,15,15,1.0,39,39,1.0,
gemini,飞机空调冷却子系统故障预测_MinerU__20250913053938,26,28,0.9286,11,12,0.9167,37,40,0.925,
gemini,飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,37,37,1.0,18,23,0.7826,55,60,0.9167,
gemini,飞机维修系统的演变_MinerU__20250913053201,31,31,1.0,19,22,0.8636,50,53,0.9434,
gemini,飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,29,29,1.0,17,17,1.0,46,46,1.0,
gemini,飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,24,24,1.0,12,16,0.75,36,40,0.9,
gemini,飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,25,26,0.9615,10,14,0.7143,35,40,0.875,
gemini,飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,19,20,0.95,11,12,0.9167,30,32,0.9375,
kimi,GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,19,19,1.0,14,17,0.8235,33,36,0.9167,
kimi,PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,21,21,1.0,6,17,0.3529,27,38,0.7105,
kimi,后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,25,25,1.0,25,25,1.0,50,50,1.0,
kimi,基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,20,21,0.9524,12,14,0.8571,32,35,0.9143,
kimi,基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,18,18,1.0,2,14,0.1429,20,32,0.625,
kimi,基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,17,17,1.0,7,10,0.7,24,27,0.8889,
kimi,基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,11,12,0.9167,5,10,0.5,16,22,0.7273,
kimi,基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,15,15,1.0,9,12,0.75,24,27,0.8889,
kimi,基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,9,9,1.0,6,6,1.0,15,15,1.0,
kimi,基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,9,10,0.9,7,10,0.7,16,20,0.8,
kimi,基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,8,8,1.0,5,7,0.7143,13,15,0.8667,
kimi,基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,22,22,1.0,1,26,0.0385,23,48,0.4792,
kimi,基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,14,14,1.0,2,10,0.2,16,24,0.6667,
kimi,基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,14,14,1.0,1,11,0.0909,15,25,0.6,
kimi,基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,31,31,1.0,27,27,1.0,58,58,1.0,
kimi,基于SVM方法的APU故障预测方法_MinerU__20250913052546,34,38,0.8947,18,21,0.8571,52,59,0.8814,
kimi,机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,6,8,0.75,6,7,0.8571,12,15,0.8,
kimi,机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,32,32,1.0,29,31,0.9355,61,63,0.9683,
kimi,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,5,10,0.5,6,9,0.6667,11,19,0.5789,
kimi,航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,18,18,1.0,5,13,0.3846,23,31,0.7419,
kimi,航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,9,9,1.0,3,8,0.375,12,17,0.7059,
kimi,航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,22,23,0.9565,14,21,0.6667,36,44,0.8182,
kimi,航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,7,7,1.0,1,6,0.1667,8,13,0.6154,
kimi,航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,11,13,0.8462,1,9,0.1111,12,22,0.5455,
kimi,航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,16,19,0.8421,22,31,0.7097,38,50,0.76,
kimi,航空机电作动器健康管理验证系统研究_MinerU__20250913053120,17,17,1.0,13,13,1.0,30,30,1.0,
kimi,航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,18,19,0.9474,17,18,0.9444,35,37,0.9459,
kimi,航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,17,17,1.0,19,20,0.95,36,37,0.973,
kimi,航空电子设备故障预测框架与方法_MinerU__20250913053514,15,15,1.0,11,12,0.9167,26,27,0.963,
kimi,航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,10,10,1.0,9,10,0.9,19,20,0.95,
kimi,航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,9,9,1.0,7,9,0.7778,16,18,0.8889,
kimi,飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,7,7,1.0,6,6,1.0,13,13,1.0,
kimi,飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,27,34,0.7941,14,32,0.4375,41,66,0.6212,
kimi,飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,6,7,0.8571,4,5,0.8,10,12,0.8333,
kimi,飞机发动机故障的多参数预测模型_MinerU__20250913053628,14,14,1.0,8,12,0.6667,22,26,0.8462,
kimi,飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,41,41,1.0,10,18,0.5556,51,59,0.8644,
kimi,飞机性能参数预测的不确定性处理_MinerU__20250913053204,13,16,0.8125,12,15,0.8,25,31,0.8065,
kimi,飞机操纵面故障的多参数预测模型_MinerU__20250913053608,9,9,1.0,4,8,0.5,13,17,0.7647,
kimi,飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,30,30,1.0,16,16,1.0,46,46,1.0,
kimi,飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,7,11,0.6364,9,9,1.0,16,20,0.8,
kimi,飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,28,29,0.9655,25,26,0.9615,53,55,0.9636,
kimi,飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,17,18,0.9444,13,26,0.5,30,44,0.6818,
kimi,飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,15,15,1.0,32,38,0.8421,47,53,0.8868,
kimi,飞机空调冷却子系统故障预测_MinerU__20250913053938,12,12,1.0,12,12,1.0,24,24,1.0,
kimi,飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,29,32,0.9062,14,18,0.7778,43,50,0.86,
kimi,飞机维修系统的演变_MinerU__20250913053201,30,30,1.0,12,16,0.75,42,46,0.913,
kimi,飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,14,15,0.9333,1,12,0.0833,15,27,0.5556,
kimi,飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,23,24,0.9583,25,25,1.0,48,49,0.9796,
kimi,飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,14,14,1.0,2,12,0.1667,16,26,0.6154,
kimi,飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,11,11,1.0,3,9,0.3333,14,20,0.7,
