text,type,gemini,deepseek,kimi
5.0416,研究结果,1,0,0
5.0416的MAPE,研究结果,0,1,0
5.63倍的加速效果,研究结果,0,0,1
5.63倍的加速计算效果,性能指标,0,1,0
5.63倍的加速计算效果,研究结果,1,0,0
50%以上的使用与保障费用减少,研究结果,0,1,0
50%的后勤规模减小,研究结果,0,1,0
512MB内存,技术,0,0,1
56%的维修工时减少,研究结果,0,1,0
6-12-1模型,模型,1,0,0
6-33-5-33-6结构的网络,模型,1,0,0
60%的维修成本节约,研究结果,0,1,0
69%的误差,研究结果,0,1,0
690亿美元的机队维护、维修和大修资金,研究结果,0,0,1
7.1,研究结果,0,1,0
7.27 RMSE,研究结果,1,0,0
7.27的均方根误差,研究结果,0,1,0
7.38的均方根误差,研究结果,0,0,1
7.6608,研究结果,1,0,0
70%的诊断率,研究结果,0,1,0
7050铝合金,材料,1,1,1
71%的准确率,结果,0,1,0
73.3%的准确率,研究结果,0,1,0
73.3%的总准确率,研究结果,1,0,0
74.602%的预测误差减少,研究结果,0,1,0
757,飞机型号,0,0,1
767,飞机型号,0,0,1
7层OSA一CBM模型,模型,1,0,0
8%以内的误差,研究结果,0,1,0
8.27dB提高,研究结果,0,0,1
8.27dB的提高,研究结果,0,1,0
8.55%的提升,研究结果,0,1,0
8.6%的患病率,研究结果,0,1,0
8000小时的使用寿命,研究结果,0,1,0
82%的CND率减少,研究结果,0,1,0
82.7%的能耗缩减,研究结果,0,0,1
82.7%的计算功耗缩减,性能指标,0,1,0
82.7%的计算功耗缩减,研究结果,1,0,0
83步循环,研究结果,0,1,0
84.61%的召回度,研究结果,1,1,0
85%的准确率,结果,0,1,0
85.0%的故障程度评估正确率,研究结果,0,1,0
85.0%的评估正确率,研究结果,1,0,0
87.26%的可靠度值,研究结果,1,1,0
88%的非计划维修事件避免,研究结果,0,1,0
88.19%的准确率,研究结果,0,1,0
88.19%的精确度,研究结果,1,0,0
8电极ESA,模型,1,0,0
9%的精度提升,研究结果,0,1,0
90%以上的故障模式诊断正确率,研究结果,0,0,1
90%可延长到30日历年或8000f使用寿命,研究结果,1,0,0
90.6%的准确率,研究结果,0,1,1
91.3%,性能指标,0,1,0
91.3%的准确度,研究结果,0,0,1
91.3%的诊断准确度,研究结果,1,0,0
92.857%的准确率,研究结果,0,1,0
92.9%的准确率,研究结果,0,1,0
92.9%的诊断率,研究结果,1,0,0
93.01%的诊断正确率,研究结果,0,1,0
93.07%,研究结果,1,0,0
94.47%的准确率,研究结果,0,0,1
94.98%的准确率,研究结果,1,0,0
95%的准确率,研究结果,0,1,0
95.55%的准确率,研究结果,1,0,0
95.6%,数值,0,1,0
95.6%的准确率,值,0,1,0
95.6%的准确率,研究结果,0,28,12
95.6%的准确率,结果,0,1,0
96.15%,研究结果,1,0,0
96.15%的精度,研究结果,0,1,1
96.33%准确率,研究结果,1,0,0
96.33%的准确率,研究结果,0,1,0
96.6667%,研究结果,1,0,0
96.6667%的总体预测准确率,研究结果,0,1,1
97%的监控效率,研究结果,0,1,1
97.67%的检测率,研究结果,0,1,0
97.75%的检测率,研究结果,1,0,0
97.77%,研究结果,1,0,0
97.77%的准确率,研究结果,0,1,0
97.77%的离线预测准确度,研究结果,0,0,1
98%的F值,研究结果,0,1,0
98.48%,研究结果,1,0,0
98.48%的准确率,研究结果,0,1,0
98.48%的在线预测准确度,研究结果,0,0,1
98.83%的准确率,研究结果,0,1,0
98.83%的故障模式评估正确率,研究结果,0,0,1
98.9%的故障类别诊断正确率,研究结果,0,1,0
98.9%的诊断正确率,研究结果,1,0,0
99%的准确率,研究结果,0,1,0
99.7%,性能指标,0,1,0
99.7%的准确率,研究结果,0,1,1
99.7%的故障诊断准确率,研究结果,1,0,0
99.88%的检出率,研究结果,0,1,0
99.9%的准确率,研究结果,0,1,0
99.90%的准确率,研究结果,1,0,0
A-SHM,维修模式,1,0,0
A/D转换,技术,0,0,1
A/D转换器,技术,0,0,1
A13号报文,数据,1,0,0
A13号报文数据,数据集,0,0,1
A300,飞机型号,0,0,1
A320 飞机空调系统,系统,1,0,0
A320Neo,飞机,0,1,0
A320Neo,飞机型号,1,0,1
A320,产品,1,0,0
A320,机型,1,0,0
A320,飞机,0,2,0
A320,飞机型号,0,4,4
A320机型的高冗余度设计,方案,1,0,0
A320飞机空调系统,系统,0,1,0
A330,飞机,0,2,0
A330,飞机型号,0,0,1
A340-500,飞机型号,0,1,0
A340-600,飞机型号,0,1,0
A340,飞机,0,2,0
A350XWB,飞机,0,1,0
A350XWB,飞机型号,1,1,2
A350XWB飞机,产品,1,0,0
A350,组织,0,0,1
A350,飞机型号,0,1,0
A350系列飞机,系统,1,0,0
A350飞机,飞机型号,1,0,0
A380,产品,1,0,0
A380,机型,1,0,0
A380,飞机,0,1,0
A380,飞机型号,1,4,4
A380飞机,产品,1,0,0
A400M,系统,1,0,0
A400M,飞机,0,1,0
A400M,飞机型号,0,0,1
AANN神经网络,模型,1,0,0
AANN神经网络,算法,0,1,1
AANN神经网络组,模型,0,1,0
ABC模型,模型,1,0,0
ABC模型相比于其他模型在预测准确度、可预测概率及预测可靠性方面都有较大提升,研究结果,0,0,1
AC43- 218,标准,1,0,0
ACARS,系统,0,4,0
ACARS技术,技术,0,1,0
ACMP,部件,0,1,0
ACMS/ADAS,系统,0,1,0
ACMS,技术,0,0,1
ACMS,概念,0,0,1
ACMS,模型,1,0,0
ACMS,系统,0,2,0
ACMS软件,系统,0,0,1
ACO-LSSVM,算法,0,1,0
ACO-LSSVM模型,模型,0,1,0
AC算法,算法,1,1,1
AC算法的RMSE为0.167,研究结果,1,0,0
AC算法的部署速度为1.37ms,研究结果,1,0,0
AD1674,芯片,0,0,1
ADAPT(先进诊断预测测试平台),技术,0,0,1
ADAPT,平台,0,1,0
ADAPT,测试床,0,0,1
ADAPT,系统,0,1,0
ADEPT,系统,0,1,0
ADF检验法,算法,0,1,0
ADS- 79- HDBK,文件,0,0,1
ADS-79-HDBK,文档,0,1,0
ADS-79-HDBK,标准,1,0,0
ADS软件,软件,1,1,1
AD采样器,设备,0,1,0
AEPHM,模型,1,0,0
AEPHM,系统,0,1,0
AEPHM系统,系统,0,0,1
AFDX,技术,1,0,0
AFDX端系统卡,技术,0,0,1
AFDX端系统板卡,硬件,1,0,0
AFDX网络,技术,0,1,0
AFDX网络协议,协议,0,1,0
AFRL,机构,0,1,0
AFRL,组织,0,0,1
AGA-BP模型,模型,0,1,0
AH-64阿帕奇,设备,1,0,0
AH-64阿帕奇,飞机,0,3,0
AH-64阿帕奇,飞机型号,1,0,0
AHEAD,系统,0,1,0
AHMS,系统,2,3,1
AHM,技术,0,0,1
AHM,系统,0,1,0
AHM技术,技术,0,0,1
AHM系统,系统,0,4,1
AHP层次分析法,模型,0,0,1
AHUMS,技术,0,1,0
AIAA Infotech@ Aerospace,文献,0,0,1
AIC值,性能指标,1,0,0
AIDL,技术,0,0,1
AIDS,系统,0,1,0
AIRMAN系统,模型,1,0,0
AIRMAN系统,系统,0,1,0
AL-31F,产品/发动机型号,1,0,0
AL-41F1S,产品/发动机型号,1,0,0
AL-41F1S发动机,发动机,0,1,0
ALIS,系统,1,1,2
AMESim-Matlab联合仿真,模型,0,1,1
AMESim,软件,1,3,1
AMESim仿真模型,模型,0,1,0
AMESim软件,软件,1,0,1
AMESim软件仿真模型,模型,0,0,1
AMESim软件平台,系统,0,1,0
AMM,技术文档,0,0,1
AMM,文档,2,1,1
AMM数据库,数据库,1,0,0
AMTAC维护记录,文档,0,0,1
ANN模型,模型,0,1,0
ANSIC429模块,模块,0,1,0
ANSYS TwinBuilder,工具,1,1,0
ANSYSTwinBuilder,工具,0,0,1
ANSYS软件,软件,1,0,1
APHM (航空电子故障预测及健康管理),技术,1,0,0
APHM,技术,0,0,1
APHM,架构,0,1,0
APHM系统,系统,1,1,0
APHM系统功能划分,设计,1,0,0
APHM系统设计,设计,1,0,0
API,类,0,1,0
API层,组件,0,1,0
APU,系统,0,1,0
APU,设备,0,1,0
APU剩余寿命预测,算法,1,0,0
APU序号（ASN）,参数,0,0,1
APU性能评估模型,模型,0,0,1
APU性能退化的方法,模型,0,0,1
APU性能退化预测模型,模型,0,0,1
APU故障诊断技术,模型,0,0,1
APU故障预测,任务,1,0,0
APU故障预测模型,模型,0,0,1
APU特征提取模型,模型,0,0,1
APU监测模型,模型,0,1,1
APU转速（NA）,参数,0,0,1
ARIMA(1,1,2)模型,模型,1,0,0
ARIMA(2,1,1),模型,1,0,0
ARIMA(2,1,3)模型,模型,1,0,0
ARIMAN,系统,0,1,0
ARIMA,算法,0,1,0
ARIMA模型,模型,2,2,0
ARIMA模型,算法,0,0,3
ARIMA模型能够有效地预测发动机振动故障,研究结果,0,0,1
ARIMA模型能够较好地描述发动机振动-转速拟合系数变化趋势,研究结果,0,0,1
ARINC- 604,标准,1,0,0
ARINC- 624,标准,1,0,0
ARINC-604,标准,0,1,0
ARINC-624,标准,0,1,0
ARINC429接口电路,技术,0,0,1
ARINC604,标准,1,1,1
ARINC624,标准,1,1,1
ARINC653标准,标准,0,1,0
ARINC661,标准,1,0,0
ARINC公司,公司,1,0,0
ARJ-21,飞机,0,1,0
ARJ-21,飞机型号,0,0,1
ARM920T内核,处理器,0,0,1
ARM920T内核,硬件,1,0,0
ARMAN系统,系统,0,1,0
ARMA,算法,0,2,0
ARMA方法,方法,1,1,0
ARMA时间序列,算法,1,1,0
ARMA模型,模型,1,2,0
ARMA模型,算法,0,0,1
ARNC653标准,标准/规范,1,0,0
ARP1587B,标准/指南,1,0,0
ARP1587B《航空燃气涡轮发动机健康管理系统指南》,标准,0,0,1
ARP6461,文件,0,0,1
ARP6461,标准/规范,1,0,0
ARP6461,规范,0,1,1
ART网络,模型,0,1,0
ART网络,算法,0,0,1
ARV为0.0029,研究结果,1,0,0
ARV为0.075,研究结果,1,0,0
AR模型,模型,1,3,0
AR模型,算法,0,0,1
ASAAC,组织,1,1,0
ASAAC标准,标准,2,3,1
ASAAC标准,标准/规范,1,0,0
ASAAC模块软件体系结构,架构,1,0,0
ASAAC规范,标准,0,1,0
ASAAC规范,模型,1,0,0
ASAC标准,标准,0,0,1
ASIC,硬件,0,1,0
ASIC,芯片,0,1,0
ASIP,系统,0,1,0
AT91RM9200,处理器,0,1,0
AT91RM9200处理器,处理器,0,0,1
AT91RM9200处理器,硬件,1,0,0
ATA Spec2000,标准,1,1,1
ATA/ATAPI-6,技术,0,0,1
ATE,技术,0,0,1
ATML,技术,0,1,1
ATML,标准,0,0,1
ATML,模型,1,0,0
ATML标准,标准,0,1,0
ATRU,设备,0,1,0
AUC,性能指标,0,3,1
AUC值,性能指标,1,0,0
AUC值为0.94,研究结果,1,1,0
AUML,技术,0,1,0
AUML,模型,1,0,0
AUML技术,技术,1,0,1
AVIATAR,平台,1,0,0
AVIATAR,系统,0,0,1
AVM与N₂的相关系数为0.712,研究结果,1,0,0
AXIe平台,技术,0,1,1
Abhinav Saxena等人,组织机构,1,0,0
Acoreos653操作系统,技术,0,0,1
Acta Aeronautic et Astronautic Sinica,文献,0,0,1
ActiveX自动化技术,技术,0,0,1
Adaboosting算法,算法,1,1,1
Adam优化算法,算法,2,2,1
Aeronautics Computing Technique Research Institute,技术,0,0,1
Age- related maintenance versus reliability centred maintenance: a case study on aero- engines,研究,0,0,1
Agilent8975A测试仪,测试设备,0,0,1
AirbusAiRTHM,系统,0,1,0
Airbus,机构,1,0,0
Aircraft Communication Addressing and Reporting System，ACARS,技术,0,0,1
Aircraft Health Management (AHM),系统,0,1,0
Akaike信息准则 (AIC),性能指标,1,0,0
Akaike信息准则,方法,0,1,0
AlphaGo,产品,1,0,0
AlphaGo,实体,0,1,0
Amazon公司,公司,0,0,1
AnalytX项目,项目,1,0,0
Andrew,研究学者,0,0,1
Apriori算法,算法,1,1,0
Army LTA（army logistics transformation agency),组织,0,0,1
AutoMPC,软件,1,0,0
Automated SHM,技术,0,0,1
Aviation Engineering Directorate,组织,0,0,1
Avionics Full-Duplex Switched Ethernet (AFDX) network,技术,0,0,1
A,文献标识码,0,1,0
A级软件,软件,1,0,0
B-1B,飞机,0,1,0
B-1B,飞机型号,0,0,1
B-2轰炸机,项目,0,1,0
B-2轰炸机,飞机,0,1,0
B-2轰炸机,飞机型号,1,0,0
B-P神经网络,模型,1,0,0
B-P神经网络,算法,0,0,1
B-P神经网络模型,模型,0,0,1
B707,飞机型号,0,0,1
B727,飞机型号,0,0,2
B737NC航线维护故障模式,模型,0,0,1
B737NG,机型,1,0,0
B737NG空调系统,系统,0,0,1
B737,产品,1,0,0
B737,机型,1,0,0
B737,飞机型号,0,2,3
B737机型的系统简洁性设计,方案,1,0,0
B747-400,飞机,0,3,0
B747-400,飞机型号,1,0,0
B747,飞机型号,0,0,1
B757,飞机,0,1,0
B757,飞机型号,0,0,1
B757飞机,项目,0,1,0
B757飞机,飞机型号,1,0,0
B767,飞机型号,0,0,1
B777,系统,1,0,0
B777,飞机,0,4,0
B777,飞机型号,1,0,2
B777飞机,设备,1,0,0
B787,产品,1,0,0
B787,机型,1,0,0
B787,飞机,0,1,0
B787,飞机型号,1,3,3
BAE Systems公司,机构,1,0,0
BAE Systems公司,组织,0,1,0
BAG,参数,0,1,0
BDI Agent理论模型,模型,1,1,0
BDI（Belief-Desire-Intention）Agent理论模型,模型,0,0,1
BF3中子剂量计,仪器,0,1,0
BHSLSTM,模型,0,1,0
BHSLSTM,算法,0,1,0
BIST技术,技术,0,1,0
BIT (机内测试),技术,1,0,0
BITE(机内测试设备),技术,0,0,1
BITE,技术,0,1,0
BIT,技术,2,2,1
BIT,系统,0,1,0
BIT,设备,0,1,0
BIT手段,技术,0,1,0
BIT技术,技术,0,1,1
BIT数据和诊断数据的表示和传输规范,问题,0,1,0
BIT系统,研究对象,1,0,0
BIT系统,系统,1,1,0
BIT设计,概念,1,0,0
BLP模型,模型,1,1,0
BOUVILLE和LOWDER公式,模型,1,0,0
BP 预测算法,算法,1,0,0
BP(BackPropagation)神经网络,模型,1,0,0
BPFI,概念,0,1,0
BPFO,概念,0,1,0
BPNN,方法,0,1,0
BPNN,模型,0,1,0
BPNN,算法,1,0,1
BPR,传感器,0,1,0
BPTT算法,算法,0,1,1
BP神经网络,技术,0,0,3
BP神经网络,模型,9,5,4
BP神经网络,算法,5,9,6
BP神经网络故障预测方法,方法,0,1,0
BP神经网络模型,模型,1,2,0
BP神经网络预测权重0.6,研究结果,1,0,0
BP算法,算法,1,2,3
BP网络,模型,1,4,1
BP网络,算法,2,0,1
BP网络模型,模型,0,1,0
BSF,概念,0,1,0
Bagging,算法,0,1,0
Bagging框架,算法,1,0,0
Basora等,研究人员,1,0,0
Baum-Welch算法,算法,0,1,0
Baum-welch算法,算法,1,0,1
Baves推理,算法,1,0,0
Bayes公式,理论,1,0,0
Bayes方法,方法,1,1,0
Beta分布,分布,1,1,0
BiGRU,模型,1,1,0
BiGRU网络,模型,0,0,1
BiLSTM- CRF&GRU变换,算法,1,0,0
BiLSTM-CRF&GRU,算法,0,0,1
BiLSTM-CRF&GRU变换,模型,0,1,0
BiLSTM,模型,0,2,0
BiLSTM,算法,1,1,0
Boeing. 787 GoldCare,文件,0,0,1
Boeing757- 300飞机,装备,1,0,0
Boeing,公司,0,0,1
Boeing公司,组织,1,0,0
Bonner球谱仪,仪器,0,1,0
Bonner球谱仪,测量仪器,0,0,1
Bonner球谱仪模型,模型,1,0,0
Brier评分,指标,0,1,0
Bristow直升机公司,公司,0,1,0
Bristow直升机公司,研究机构,1,0,0
Build In Test,概念,0,0,1
Builtintest (BIT),系统,0,1,0
Builtintest,技术,1,0,0
Builtintest（BIT）,技术,0,0,1
Byington,人物,0,1,0
C#语言,编程语言/工具,1,0,0
C-130大力神运输机,飞机,0,2,0
C-17,飞机型号,1,0,0
C-C方法,算法,1,1,0
C-MAPSS,数据,1,0,0
C-MAPSS,数据集,1,2,2
C-MAPSS,系统,0,1,0
C-MAPSS仿真工具,工具,0,1,0
C-MAPSS数据集,数据集,1,4,2
C-MAPSS涡扇发动机退化仿真数据集,数据集,1,0,0
C-MAPSS航空发动机仿真模型,系统,0,1,0
C/A码,技术,0,0,1
C17-T1PHM,系统,0,1,0
C17-T1型飞机,技术,0,0,1
C4.5,算法,1,1,0
C919,组织,0,0,1
C919,飞机,0,1,0
C919,飞机型号,1,1,3
C919大型客机,产品,1,0,0
C919大型客机,实体,0,1,0
C919大型客机健康管理系统,系统,0,1,0
C919大型客机的健康管理系统,模型,1,0,0
CAD系统,数据源,0,1,0
CAD系统,系统,0,0,1
CAE-LSTM,模型,0,1,0
CAM系统,数据源,0,1,0
CAM系统,系统,0,0,1
CAN总线,技术,0,0,2
CAPP系统,数据源,0,1,0
CAPP系统,系统,0,0,1
CARI6,模型,1,0,0
CARI6,软件,0,1,1
CASS系统,简称,1,0,0
CASS系统,设备,0,1,0
CBH测试,算法,1,0,0
CBIT,技术,0,0,1
CBIT,测试类型,0,1,0
CBIT,类,0,1,0
CBM- Skip策略,策略,0,0,1
CBM,技术,1,1,1
CBM,技术术语,0,0,1
CBM,方法,0,1,0
CBM,系统,0,2,0
CBM,维修方式,0,1,0
CBM测试-计划的系统设计,方法,1,0,0
CBR故障诊断系统,技术,0,0,1
CBR数据库,数据,1,0,0
CBR数据库,数据库,0,1,0
CBR模块,模块,1,1,0
CCE-LIMX,项目,0,1,0
CCHM,系统,0,1,1
CCS3.3环境,技术,0,0,1
CEDU,模型,0,0,1
CEDU,系统,0,1,0
CETADS,系统,0,1,0
CF-18,飞机型号,0,1,0
CFD(计算流体动力学),技术,0,0,1
CFD报文,数据,1,0,0
CFD报文,数据源,0,1,0
CFD报文,文档,0,0,1
CFM56-7B发动机,实体,0,1,0
CFM56-7B发动机,设备,0,1,0
CFM,模块,0,1,0
CGEKF仿真用时为4.7060s,研究结果,1,0,0
CGEKF估计误差为0.0299,研究结果,1,0,0
CH-47支奴干,飞机,0,3,0
CH-47支奴干,飞机型号,1,0,0
CH-53E'超级种马”,飞机型号,1,0,0
CH-53E超级种马,飞机,0,1,0
CHK-Means算法,算法,0,1,1
CIS-MS,系统,0,0,1
CMCS,数据源,0,1,0
CMCS,模型,1,0,0
CMCS,系统,2,2,1
CMG云台系统,技术,0,0,1
CMOS,技术,0,0,1
CMS,系统,0,3,0
CND,技术,0,0,1
CND率减少82%,研究结果,1,0,0
CNN-BiGRU-Attention,模型,1,0,0
CNN-BiGRU-Attention,算法,0,0,1
CNN-BiGRU,模型,1,0,0
CNN-BiGRU,算法,0,0,1
CNN-BiLstm,模型,1,0,0
CNN-BiLstm,算法,0,0,1
CNN-GRU-自注意力机制模型,模型,1,1,1
CNN-GRU-自注意力机制模型,算法,0,1,0
CNN-GRU模型,模型,1,1,1
CNN-RNN融合模型,模型,1,0,0
CNNLSTM方法,模型,1,0,0
CNNLSTM方法在J_{RMSE}指标上优于其他大部分方法,研究结果,0,0,1
CNNLSTM方法在J_{Score}指标上优于其他所有方法,研究结果,0,0,1
CNN,模型,0,2,0
CNN,算法,0,0,2
COMPASS,系统,0,1,0
COTS构架,技术,0,0,1
CP-140,飞机型号,0,1,0
CPS,系统,0,1,0
CPU,芯片,0,1,0
CPU占用率,性能指标,1,0,1
CP准则,性能指标,1,0,0
CR-39中子剂量计,仪器,0,1,0
CR929,飞机型号,0,0,1
CR929宽体飞机,实体,0,1,0
CRIS数据模型,模型,1,0,0
CSM/G,技术术语,0,0,1
Caps-BiGRU-Attention,模型,1,1,0
Caps-BiGRU-Attention,算法,0,0,1
Cartocci等,研究人员,1,0,0
Caterpillar,公司,0,0,1
CausationBean,类,0,0,1
Census X12-SARIMA模型,模型,0,1,0
Census X12-SARIMA模型,算法,0,1,0
Chen,人物,0,1,0
Chowdhury 等,研究人员,1,0,0
Clayton Copula,函数,1,0,0
Clean Sky项目,计划,0,1,0
CloudSim,平台,0,1,0
CloudSim平台,平台,1,0,1
Cohesive Zone理论,理论,1,0,0
CommonComputingResource（通用计算资源）,技术,0,0,1
Compact Flash Systems,技术,0,0,1
ConceptualIdealforPLM,概念,1,0,0
ConclusionBean,类,0,0,1
Condition- Based Maintenance (CBM),技术,0,0,1
Copilot软件,技术,0,0,1
Copilot软件,软件,1,1,0
Copula函数,函数,2,9,9
Copula函数,模型,0,1,1
Copula函数,算法,0,0,1
Copula函数法,方法,1,1,0
Copula熵模型,模型,0,0,1
Copula相似性,方法,0,1,0
Cram'er- vonMises统计量检验,算法,1,0,0
Cranfield大学Urban等,组织/人名,1,0,0
Cronbach ε系数,性能指标,1,0,0
CursorControlDevice（指标控制装置）,技术,0,0,1
C,参数,0,0,1
C语言,其他,1,0,0
C语言,工具,0,1,0
C语言,软件,1,0,0
D-S证据理论,技术,0,0,1
D-S证据理论,方法,1,0,0
D-S证据理论,模型,0,1,0
D-S证据理论,算法,1,1,1
D-S证据理论融合,算法,0,1,0
D1,数据集,0,0,1
D2,数据集,0,0,1
D3,数据集,0,0,1
DARPA,机构,0,0,1
DAR,系统,0,1,0
DBN,模型,0,1,0
DBN,算法,1,0,0
DBN模型,模型,0,1,0
