论文stem,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,18464,13700,42,30,3.0657,2.1898,0.7143
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,17455,14229,46,36,3.2328,2.5300,0.7826
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,19166,12560,36,21,2.8662,1.6720,0.5833
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,10693,8406,80,56,9.5170,6.6619,0.7000
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,10479,9448,89,45,9.4200,4.7629,0.5056
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,13180,11415,78,65,6.8331,5.6943,0.8333
航空电子设备故障预测框架与方法_MinerU__20250913053514,18838,11643,53,30,4.5521,2.5767,0.5660
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,22854,17022,63,38,3.7011,2.2324,0.6032
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,15316,10923,52,29,4.7606,2.6549,0.5577
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,8157,6623,36,21,5.4356,3.1708,0.5833
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,15607,12540,102,70,8.1340,5.5821,0.6863
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,15298,9533,34,26,3.5666,2.7274,0.7647
飞机发动机故障的多参数预测模型_MinerU__20250913053628,12881,9769,30,27,3.0709,2.7638,0.9000
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,11656,4390,39,24,8.8838,5.4670,0.6154
飞机性能参数预测的不确定性处理_MinerU__20250913053204,21423,16655,35,21,2.1015,1.2609,0.6000
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,6814,6094,31,21,5.0870,3.4460,0.6774
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,36848,30467,104,85,3.4135,2.7899,0.8173
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,13585,10205,43,33,4.2136,3.2337,0.7674
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,13044,11328,67,56,5.9145,4.9435,0.8358
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,43982,36814,109,101,2.9608,2.7435,0.9266
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,6683,5898,55,45,9.3252,7.6297,0.8182
飞机空调冷却子系统故障预测_MinerU__20250913053938,24658,15722,37,24,2.3534,1.5265,0.6486
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,40104,33139,83,52,2.5046,1.5691,0.6265
飞机维修系统的演变_MinerU__20250913053201,5927,5305,56,36,10.5561,6.7861,0.6429
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,12421,9688,49,30,5.0578,3.0966,0.6122
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,5569,3586,46,40,12.8277,11.1545,0.8696
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,8733,5661,37,24,6.5359,4.2395,0.6486
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,14698,11969,52,24,4.3446,2.0052,0.4615
