semantic_pattern,syntactic_key,display_path,example,path_len,title,subject,object
机构 → 隶属于 → 机构,nn->nn->conj,空军(nn) — 工程(nn) — 大学(conj),[空军工程大学航空航天工程学院PHM实验室] → [空军工程大学],3,2017预测与健康管理(PHM)研讨会在西安召开,空军工程大学航空航天工程学院PHM实验室,空军工程大学
会议 → 得到...支持 → 期刊,punct->nn->conj->root->root->dep->conj->punct->nn->nn,",(punct) — 2017(nn) — 预测(conj) — 召开(root) — 主办(root) — 电(dep) — 学报(conj) — 《(punct) — 仪器(nn) — 仪表(nn)",[2017预测与健康管理(PHM)研讨会] → [《仪器仪表学报》],10,2017预测与健康管理(PHM)研讨会在西安召开,2017预测与健康管理(PHM)研讨会,《仪器仪表学报》
会议 → 得到...支持 → 期刊,punct->nn->conj->root->root->prep->pobj->conj->nn->conj,",(punct) — 2017(nn) — 预测(conj) — 召开(root) — 主办(root) — 由(prep) — 分会(pobj) — 分会(conj) — 电子(nn) — 测量(conj)",[2017预测与健康管理(PHM)研讨会] → [《电子测量与仪器学报》],10,2017预测与健康管理(PHM)研讨会在西安召开,2017预测与健康管理(PHM)研讨会,《电子测量与仪器学报》
会议 → 得到...支持 → 期刊,punct->nn->conj->root->root->dep->conj,",(punct) — 2017(nn) — 预测(conj) — 召开(root) — 主办(root) — 电(dep) — INSTRUMENTATION(conj)",[2017预测与健康管理(PHM)研讨会] → [INSTRUMENTATION],7,2017预测与健康管理(PHM)研讨会在西安召开,2017预测与健康管理(PHM)研讨会,INSTRUMENTATION
任务 → 支持 → 任务,nn->nsubj->root->prep->pobj->nn->nn->assmod->assm,故障(nn) — 预测(nsubj) — 具有(root) — 对(prep) — 维护(pobj) — 飞机(nn) — 空调(nn) — 系统(assmod) — 的(assm),[故障预测] → [飞机空调系统维护],9,A320飞机空调系统故障预测模型研究,故障预测,飞机空调系统维护
Model → 基于 → 理论,nsubj,预测(nsubj),"[传统GM(1,1)预测模型] → [灰色预测建模理论]",1,A320飞机空调系统故障预测模型研究,"传统GM(1,1)预测模型",灰色预测建模理论
Model → 适用于 → 数据类型,nsubj->root->root->ccomp->prep->pobj->nn->nn,预测(nsubj) — 具有(root) — 适用于(root) — 进行(ccomp) — 对(prep) — 序列(pobj) — 指数(nn) — 规律(nn),"[传统GM(1,1)预测模型] → [指数规律序列]",8,A320飞机空调系统故障预测模型研究,"传统GM(1,1)预测模型",指数规律序列
Model → 不适用于 → 数据类型,nsubj->root->root->dep->dobj->nn,预测(nsubj) — 具有(root) — 适用于(root) — 适合(dep) — 序列(dobj) — 波动(nn),"[传统GM(1,1)预测模型] → [波动序列]",6,A320飞机空调系统故障预测模型研究,"传统GM(1,1)预测模型",波动序列
参数 → 具有 → 特性,nn->nn->assmod->pobj->prep->root->root->dep->dobj->nn,飞机(nn) — 空调(nn) — 系统(assmod) — 维护(pobj) — 对(prep) — 具有(root) — 适用于(root) — 适合(dep) — 序列(dobj) — 波动(nn),[A320飞机空调系统参数] → [波动性],10,A320飞机空调系统故障预测模型研究,A320飞机空调系统参数,波动性
参数 → 具有 → 特性,assmod->assm->nn->dobj->top->root->root->dobj,飞机(assmod) — 的(assm) — 性能(nn) — 参数(dobj) — 利用(top) — 重要(root) — 具有(root) — 非线性(dobj),[飞机性能参数] → [非线性],8,飞机性能参数预测的不确定性处理,飞机性能参数,非线性
Model → 采用 → 方法,nsubj->root->root->conj->dobj->nummod->clf,预测(nsubj) — 具有(root) — 具有(root) — 采用(conj) — 均值法(dobj) — 3(nummod) — 点(clf),"[改进的GM(1,1)预测模型] → [3点均值法]",7,A320飞机空调系统故障预测模型研究,"改进的GM(1,1)预测模型",3点均值法
方法 → 预处理 → 数据类型,nummod->clf->dobj->conj->root->root->dep->dobj->nn,3(nummod) — 点(clf) — 均值法(dobj) — 采用(conj) — 具有(root) — 适用于(root) — 适合(dep) — 序列(dobj) — 波动(nn),[3点均值法] → [原始波动序列],9,A320飞机空调系统故障预测模型研究,3点均值法,原始波动序列
Model → 修正 → 参数,nsubj->root->root->conj->conj->dobj,预测(nsubj) — 具有(root) — 具有(root) — 采用(conj) — 修正(conj) — 背景值(dobj),"[改进的GM(1,1)预测模型] → [背景值]",6,A320飞机空调系统故障预测模型研究,"改进的GM(1,1)预测模型",背景值
Model → 提高 → 指标,nsubj,预测(nsubj),"[改进的GM(1,1)预测模型] → [预测精度]",1,A320飞机空调系统故障预测模型研究,"改进的GM(1,1)预测模型",预测精度
Model → 提高 → 指标,nn->nsubj,故障(nn) — 预测(nsubj),[双向LSTM故障预测模型] → [预测精度],2,双向LSTM神经网络的航空发动机故障预测,双向LSTM故障预测模型,预测精度
Model → 提高 → 指标,nsubj->conj->dobj->assmod->assm,预测(nsubj) — 使得(conj) — 准确性(dobj) — 预测(assmod) — 的(assm),[多参数预测模型] → [预测的准确性],5,飞机发动机故障的多参数预测模型,多参数预测模型,预测的准确性
Model → 验证于 → 参数,nsubj->root->root->prep->pobj->nn->nn,预测(nsubj) — 具有(root) — 为(root) — 以(prep) — 温度(pobj) — 水分离器(nn) — 出口(nn),"[改进的GM(1,1)预测模型] → [水分离器出口温度]",7,A320飞机空调系统故障预测模型研究,"改进的GM(1,1)预测模型",水分离器出口温度
参数 → 属于 → 系统,nn->nn->pobj->prep->root->root->prep->pobj->assmod->nn,水分离器(nn) — 出口(nn) — 温度(pobj) — 以(prep) — 为(root) — 具有(root) — 对(prep) — 维护(pobj) — 系统(assmod) — 空调(nn),[水分离器出口温度] → [A320空调系统],10,A320飞机空调系统故障预测模型研究,水分离器出口温度,A320空调系统
技术 → 提高 → Performance Metric,amod->nn->nn->nn->top->root->attr->rcmod->dobj->conj,综合(amod) — 运载器(nn) — 健康(nn) — 管理(nn) — 技术(top) — 是(root) — 途径(attr) — 提高(rcmod) — 可维护性(dobj) — 安全性(conj),[综合运载器健康管理(IVHM)技术] → [安全性],10,ATML在综合运载器健康管理系统中的应用,综合运载器健康管理(IVHM)技术,安全性
技术 → 提高 → Performance Metric,amod->nn->nn->nn->top->root->attr->rcmod->dobj->conj,综合(amod) — 运载器(nn) — 健康(nn) — 管理(nn) — 技术(top) — 是(root) — 途径(attr) — 提高(rcmod) — 可维护性(dobj) — 可靠性(conj),[综合运载器健康管理(IVHM)技术] → [可靠性],10,ATML在综合运载器健康管理系统中的应用,综合运载器健康管理(IVHM)技术,可靠性
技术 → 提高 → Performance Metric,amod->nn->nn->nn->top->root->attr->rcmod->dobj,综合(amod) — 运载器(nn) — 健康(nn) — 管理(nn) — 技术(top) — 是(root) — 途径(attr) — 提高(rcmod) — 可维护性(dobj),[综合运载器健康管理(IVHM)技术] → [可维护性],9,ATML在综合运载器健康管理系统中的应用,综合运载器健康管理(IVHM)技术,可维护性
技术 → 提高 → Performance Metric,nn->nn->nn->assmod->pobj->root->root->prep->pobj->rcmod->dobj->nn,气路(nn) — 故障(nn) — 诊断(nn) — 技术(assmod) — 进步(pobj) — 随着(root) — 出发(root) — 从(prep) — 角度(pobj) — 提高(rcmod) — 安全性(dobj) — 飞行(nn),[气路故障诊断技术] → [飞行安全性],12,军用航空发动机气路故障诊断技术进展,气路故障诊断技术,飞行安全性
技术 → 提高 → Performance Metric,cc->nn->nn->nsubj->conj->prep->pobj->rcmod->dobj->amod->nn->punct->nummod,"与(cc) — 健康(nn) — 管理(nn) — 技术(nsubj) — 回顾(conj) — 作为(prep) — 技术(pobj) — 提高(rcmod) — 性(dobj) — 复杂(amod) — 系统(nn) — ""(punct) — 五(nummod)",[综合诊断、预测与健康管理(PHM)技术] → [复杂系统五性],13,国外综合诊断、预测与健康管理技术的发展及应用,综合诊断、预测与健康管理(PHM)技术,复杂系统五性
技术 → 提高 → Performance Metric,nn->nn->nn->dobj->nn,航空(nn) — 健康(nn) — 管理(nn) — 技术(dobj) — 发动机(nn),[航空发动机健康管理技术] → [发动机安全],5,基于混合驱动的航空发动机气路故障诊断技术综述,航空发动机健康管理技术,发动机安全
技术 → 提高 → Performance Metric,conj->nn->nsubj->root->conj->conj->dobj->nn->conj,预测(conj) — 故障(nn) — 技术(nsubj) — 是(root) — 降低(conj) — 提高(conj) — 可用性(dobj) — 战备(nn) — 完好率(conj),[故障预测与管理技术(PHM)] → [战备完好率],9,基于综合PHM方法的导弹维修保障综述,故障预测与管理技术(PHM),战备完好率
技术 → 提高 → Performance Metric,conj->nn->nsubj->root->conj->conj->dobj->nn->conj,预测(conj) — 故障(nn) — 技术(nsubj) — 是(root) — 降低(conj) — 提高(conj) — 可用性(dobj) — 任务(nn) — 成功率(conj),[故障预测与管理技术(PHM)] → [任务成功率],9,基于综合PHM方法的导弹维修保障综述,故障预测与管理技术(PHM),任务成功率
技术 → 提高 → Performance Metric,conj->nn->nsubj->root->conj->conj->dobj->conj,预测(conj) — 故障(nn) — 技术(nsubj) — 是(root) — 降低(conj) — 提高(conj) — 可用性(dobj) — 安全性(conj),[故障预测与管理技术(PHM)] → [安全性和可用性],8,基于综合PHM方法的导弹维修保障综述,故障预测与管理技术(PHM),安全性和可用性
技术 → 提高 → Performance Metric,nsubj->root->attr->rcmod->dobj->nn->conj,PHM(nsubj) — 是(root) — 手段(attr) — 提高(rcmod) — 效率(dobj) — 系统(nn) — 可用性(conj),[PHM] → [系统可用性],7,新一代航空电子故障预测与健康管理系统综述,PHM,系统可用性
技术 → 提高 → Performance Metric,nsubj->root->attr->rcmod->dobj->nn,PHM(nsubj) — 是(root) — 手段(attr) — 提高(rcmod) — 效率(dobj) — 维修(nn),[PHM] → [维修效率],6,新一代航空电子故障预测与健康管理系统综述,PHM,维修效率
技术 → 提高 → Performance Metric,punct->prnmod->nn->nsubj->root->attr->rcmod->dobj->nn->conj,)(punct) — PHM(prnmod) — 管理(nn) — 技术(nsubj) — 是(root) — 手段(attr) — 提高(rcmod) — 效率(dobj) — 系统(nn) — 可用性(conj),[PHM技术] → [系统可用性],10,综合航空电子系统故障诊断与健康管理技术发展,PHM技术,系统可用性
技术 → 提高 → Performance Metric,punct->prnmod->nn->nsubj->root->attr->rcmod->dobj->nn,)(punct) — PHM(prnmod) — 管理(nn) — 技术(nsubj) — 是(root) — 手段(attr) — 提高(rcmod) — 效率(dobj) — 维修(nn),[PHM技术] → [维修效率],9,综合航空电子系统故障诊断与健康管理技术发展,PHM技术,维修效率
技术 → 降低 → 成本,amod->nn->nn->nn->top->root->attr->rcmod->conj->dobj,综合(amod) — 运载器(nn) — 健康(nn) — 管理(nn) — 技术(top) — 是(root) — 途径(attr) — 提高(rcmod) — 降低(conj) — 成本(dobj),[综合运载器健康管理(IVHM)技术] → [成本],10,ATML在综合运载器健康管理系统中的应用,综合运载器健康管理(IVHM)技术,成本
技术 → 降低 → 成本,nn->nsubj->conj->root->conj->conj->dobj->cc->nn,PHM(nn) — 技术(nsubj) — 用于(conj) — 发生(root) — 实现(conj) — 降低(conj) — 费用(dobj) — 和(cc) — 保障(nn),[PHM技术] → [使用和保障费用],9,PHM技术在航空结构疲劳寿命预测中的应用,PHM技术,使用和保障费用
技术 → 降低 → 成本,nn->nn->nn->assmod->pobj->root->root->prep->pobj->rcmod->conj->dobj->nn->nn,气路(nn) — 故障(nn) — 诊断(nn) — 技术(assmod) — 进步(pobj) — 随着(root) — 出发(root) — 从(prep) — 角度(pobj) — 提高(rcmod) — 降低(conj) — 成本(dobj) — 视情(nn) — 维修(nn),[气路故障诊断技术] → [视情维修成本],14,军用航空发动机气路故障诊断技术进展,气路故障诊断技术,视情维修成本
技术 → 降低 → 成本,cc->nn->nn->nsubj->conj->prep->pobj->rcmod->conj->dobj->nn->nn->nn,与(cc) — 健康(nn) — 管理(nn) — 技术(nsubj) — 回顾(conj) — 作为(prep) — 技术(pobj) — 提高(rcmod) — 降低(conj) — 费用(dobj) — 系统(nn) — 寿命(nn) — 周期(nn),[综合诊断、预测与健康管理(PHM)技术] → [系统寿命周期费用],13,国外综合诊断、预测与健康管理技术的发展及应用,综合诊断、预测与健康管理(PHM)技术,系统寿命周期费用
技术 → 降低 → 成本,nn->nn->nn->nn->dobj->root->root->prep->pccomp->conj->dobj->nn,航空(nn) — 发动机(nn) — 健康(nn) — 管理(nn) — 技术(dobj) — 发展(root) — 具有(root) — 对于(prep) — 提高(pccomp) — 降低(conj) — 成本(dobj) — 维修(nn),[航空发动机健康管理技术] → [维修成本],12,基于混合驱动的航空发动机气路故障诊断技术综述,航空发动机健康管理技术,维修成本
技术 → 降低 → 成本,conj->nn->nsubj->root->conj->dobj->cc->nn,预测(conj) — 故障(nn) — 技术(nsubj) — 是(root) — 降低(conj) — 费用(dobj) — 和(cc) — 保障(nn),[故障预测与管理技术(PHM)] → [维修、使用和保障费用],8,基于综合PHM方法的导弹维修保障综述,故障预测与管理技术(PHM),维修、使用和保障费用
技术 → 降低 → 成本,nsubj->root->attr->rcmod->conj->dobj->nn->nn,PHM(nsubj) — 是(root) — 手段(attr) — 提高(rcmod) — 降低(conj) — 成本(dobj) — 寿命(nn) — 周期(nn),[PHM] → [寿命周期成本],8,新一代航空电子故障预测与健康管理系统综述,PHM,寿命周期成本
技术 → 降低 → 成本,punct->prnmod->nn->nsubj->root->attr->rcmod->conj->dobj->nn->nn,)(punct) — PHM(prnmod) — 管理(nn) — 技术(nsubj) — 是(root) — 手段(attr) — 提高(rcmod) — 降低(conj) — 成本(dobj) — 寿命(nn) — 周期(nn),[PHM技术] → [寿命周期成本],11,综合航空电子系统故障诊断与健康管理技术发展,PHM技术,寿命周期成本
技术 → 降低 → 成本,nn->nn->nn->nn->nsubj->root->conj->attr->rcmod->conj->dobj->nn->nn,航空(nn) — 发动机(nn) — 气路(nn) — 故障(nn) — 诊断(nsubj) — 是(root) — 是(conj) — 途径(attr) — 提高(rcmod) — 降低(conj) — 成本(dobj) — 发动机(nn) — 维修(nn),[航空发动机气路故障诊断] → [发动机维修成本],13,航空发动机气路故障诊断研究现状与展望,航空发动机气路故障诊断,发动机维修成本
技术 → 降低 → 成本,assm->nn->conj->assmod->nsubj->root->root->prep->pobj,的(assm) — 健康(nn) — 管理(conj) — 飞机(assmod) — 技术(nsubj) — 重要(root) — 面临(root) — 随着(prep) — 使用(pobj),[健康管理与预测(PHM)技术] → [使用成本],9,轻型飞机健康管理与故障预测的应用,健康管理与预测(PHM)技术,使用成本
技术 → 降低 → 成本,nn->nsubj->root->root->conj->attr->rcmod->conj->dobj->nn,飞机(nn) — 结构(nsubj) — 是(root) — 具有(root) — 是(conj) — 之一(attr) — 保证(rcmod) — 降低(conj) — 费用(dobj) — 维护(nn),[飞机结构健康监测与管理技术] → [维护费用],10,飞机结构健康监测与管理技术研究进展和展望,飞机结构健康监测与管理技术,维护费用
系统 → 具有 → 特性,punct->prnmod->nn->top->root->root->prep->pobj->conj->amod,((punct) — IVHM(prnmod) — 管理(nn) — 技术(top) — 是(root) — 提出(root) — 针对(prep) — 特点(pobj) — 互操作性(conj) — 高(amod),[IVHM系统] → [高互操作性],10,ATML在综合运载器健康管理系统中的应用,IVHM系统,高互操作性
系统 → 具有 → 特性,punct->prnmod->nn->top->root->root->prep->pobj->amod->nn->nn,((punct) — IVHM(prnmod) — 管理(nn) — 技术(top) — 是(root) — 提出(root) — 针对(prep) — 特点(pobj) — 复杂(amod) — 数据(nn) — 交换(nn),[IVHM系统] → [复杂数据交换特点],11,ATML在综合运载器健康管理系统中的应用,IVHM系统,复杂数据交换特点
标准/语言 → 用于描述 → 设备,amod->nn->nn->dobj->ccomp->conj->prep->pobj->nn->amod,自动(amod) — 测试(nn) — 标记(nn) — 语言(dobj) — 采用(ccomp) — 进行(conj) — 对(prep) — 设备(pobj) — 航空(nn) — 机载(amod),[自动测试标记语言(ATML)] → [航空机载设备],10,ATML在综合运载器健康管理系统中的应用,自动测试标记语言(ATML),航空机载设备
标准/语言 → 实现 → 目标,amod->nn->nn->dobj->ccomp->conj->ccomp->dobj->conj->assmod->assm->amod,自动(amod) — 测试(nn) — 标记(nn) — 语言(dobj) — 采用(ccomp) — 有利于(conj) — 实现(ccomp) — 可扩展性(dobj) — 集成(conj) — 系统(assmod) — 的(assm) — 高度(amod),[自动测试标记语言(ATML)] → [系统的高度集成],12,ATML在综合运载器健康管理系统中的应用,自动测试标记语言(ATML),系统的高度集成
标准/语言 → 实现 → 目标,amod->nn->nn->dobj->ccomp->conj->ccomp->dobj,自动(amod) — 测试(nn) — 标记(nn) — 语言(dobj) — 采用(ccomp) — 有利于(conj) — 实现(ccomp) — 可扩展性(dobj),[自动测试标记语言(ATML)] → [可扩展性],8,ATML在综合运载器健康管理系统中的应用,自动测试标记语言(ATML),可扩展性
标准/语言 → 应用于 → 系统,amod->nn->nn->dobj->ccomp->root->root->top->nn->amod->nn->nn,自动(amod) — 测试(nn) — 标记(nn) — 语言(dobj) — 采用(ccomp) — 提出(root) — 是(root) — 技术(top) — 管理(nn) — 综合(amod) — 运载器(nn) — 健康(nn),[自动测试标记语言(ATML)] → [综合运载器健康管理系统],12,ATML在综合运载器健康管理系统中的应用,自动测试标记语言(ATML),综合运载器健康管理系统
应用实例 → 是...的实例 → 系统,nn->nn->nn->conj->assmod->dobj->conj->ccomp->root->root->top->nn->amod->nn->nn,航空(nn) — 电源(nn) — 故障(nn) — 诊断(conj) — 系统(assmod) — 实例(dobj) — 结合(conj) — 采用(ccomp) — 提出(root) — 是(root) — 技术(top) — 管理(nn) — 综合(amod) — 运载器(nn) — 健康(nn),[航空电源故障诊断与预测系统] → [综合运载器健康管理系统],15,ATML在综合运载器健康管理系统中的应用,航空电源故障诊断与预测系统,综合运载器健康管理系统
保障系统 → 存在缺陷 → 缺陷,amod->nn->assmod,自主式(amod) — 保障(nn) — 系统(assmod),[F-35自主式保障系统] → [信息系统自动化程度有限],3,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统,信息系统自动化程度有限
保障系统 → 存在缺陷 → 缺陷,amod->nn->assmod->conj->dobj->root->root->ccomp->conj->prtmod->rcmod->nsubj->neg->cc->conj,自主式(amod) — 保障(nn) — 系统(assmod) — 缺陷(conj) — 原因(dobj) — 分析(root) — 包括(root) — 有限(ccomp) — 完整(conj) — 所(prtmod) — 需(rcmod) — 数据(nsubj) — 不(neg) — 或(cc) — 错误(conj),[F-35自主式保障系统] → [所需数据不完整或错误],15,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统,所需数据不完整或错误
保障系统 → 存在缺陷 → 缺陷,amod->nn->assmod->conj->dobj->root->root->ccomp->conj->nsubj->advmod,自主式(amod) — 保障(nn) — 系统(assmod) — 缺陷(conj) — 原因(dobj) — 分析(root) — 包括(root) — 有限(ccomp) — 弱(conj) — 可部署性(nsubj) — 较(advmod),[F-35自主式保障系统] → [可部署性较弱],11,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统,可部署性较弱
保障系统 → 存在缺陷 → 缺陷,amod->nn->assmod->conj->dobj->root->root->ccomp->conj->nn->nsubj->neg,自主式(amod) — 保障(nn) — 系统(assmod) — 缺陷(conj) — 原因(dobj) — 分析(root) — 包括(root) — 有限(ccomp) — 顺畅(conj) — 信息(nn) — 交流(nsubj) — 不(neg),[F-35自主式保障系统] → [信息交流不顺畅],12,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统,信息交流不顺畅
保障系统 → 存在缺陷 → 缺陷,amod->nn->assmod->conj->dobj->root->root->ccomp->conj->nsubj,自主式(amod) — 保障(nn) — 系统(assmod) — 缺陷(conj) — 原因(dobj) — 分析(root) — 包括(root) — 有限(ccomp) — 短缺(conj) — 备件(nsubj),[F-35自主式保障系统] → [备件短缺和不匹配],10,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统,备件短缺和不匹配
保障系统 → 存在缺陷 → 缺陷,amod->nn->assmod->conj->dobj->root->root->ccomp->conj->nn->nsubj,自主式(amod) — 保障(nn) — 系统(assmod) — 缺陷(conj) — 原因(dobj) — 分析(root) — 包括(root) — 有限(ccomp) — 困难(conj) — 备件(nn) — 运输(nsubj),[F-35自主式保障系统] → [备件运输困难],11,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统,备件运输困难
保障系统 → 存在缺陷 → 缺陷,amod->nn->assmod->conj->dobj->root->punct->prtmod,"自主式(amod) — 保障(nn) — 系统(assmod) — 缺陷(conj) — 原因(dobj) — 分析(root) — ,(punct) — 以(prtmod)",[F-35自主式保障系统] → [紧缺备件分配优先级难以确定],8,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统,紧缺备件分配优先级难以确定
保障系统 → 存在缺陷 → 缺陷,amod->nn->assmod->conj->dobj->root->root->ccomp->conj->nn->nsubj,自主式(amod) — 保障(nn) — 系统(assmod) — 缺陷(conj) — 原因(dobj) — 分析(root) — 包括(root) — 有限(ccomp) — 混乱(conj) — 备件(nn) — 管理(nsubj),[F-35自主式保障系统] → [备件管理混乱],11,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统,备件管理混乱
问题 → 原因为 → 原因,amod->nn->assmod->assm->conj->dobj->root->prep->pccomp->dobj->assmod->pobj,自主式(amod) — 保障(nn) — 系统(assmod) — 的(assm) — 缺陷(conj) — 原因(dobj) — 分析(root) — 通过(prep) — 研究(pccomp) — 报告(dobj) — 关于(assmod) — 保障(pobj),[F-35自主式保障系统缺陷] → [装备成熟度与保障性之间的矛盾],12,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统缺陷,装备成熟度与保障性之间的矛盾
问题 → 原因为 → 原因,amod->nn->assmod->assm->conj->dobj->root->prep->pccomp->dobj->assmod->pobj,自主式(amod) — 保障(nn) — 系统(assmod) — 的(assm) — 缺陷(conj) — 原因(dobj) — 分析(root) — 通过(prep) — 研究(pccomp) — 报告(dobj) — 关于(assmod) — 保障(pobj),[F-35自主式保障系统缺陷] → [保障管理的组织架构有待完善],12,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统缺陷,保障管理的组织架构有待完善
问题 → 原因为 → 原因,amod->nn->assmod->assm->conj->dobj->root->root->ccomp->conj,自主式(amod) — 保障(nn) — 系统(assmod) — 的(assm) — 缺陷(conj) — 原因(dobj) — 分析(root) — 包括(root) — 有限(ccomp) — 困难(conj),[F-35自主式保障系统缺陷] → [全球供应链建设方面的困难估计不足],10,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统缺陷,全球供应链建设方面的困难估计不足
问题 → 原因为 → 原因,amod->nn->assmod->assm->conj->dobj->root->prep->pccomp->dobj->assmod->pobj,自主式(amod) — 保障(nn) — 系统(assmod) — 的(assm) — 缺陷(conj) — 原因(dobj) — 分析(root) — 通过(prep) — 研究(pccomp) — 报告(dobj) — 关于(assmod) — 保障(pobj),[F-35自主式保障系统缺陷] → [保障管理方面的政策法规不完备],12,F-35飞机自主式保障系统缺陷及原因分析,F-35自主式保障系统缺陷,保障管理方面的政策法规不完备
组织机构 → 发布 → 报告,nn->nn->nsubj->rcmod->dobj->assmod->pobj->nn->nn,美国(nn) — 政府(nn) — 问责局(nsubj) — 发布(rcmod) — 报告(dobj) — 关于(assmod) — 保障(pobj) — F-35(nn) — 飞机(nn),[美国政府问责局(GAO)] → [F-35飞机保障的系列调查报告],9,F-35飞机自主式保障系统缺陷及原因分析,美国政府问责局(GAO),F-35飞机保障的系列调查报告
