paper,model,relation_count
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,kimi,7
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,kimi,26
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,kimi,10
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,kimi,11
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,kimi,27
基于SVM方法的APU故障预测方法_MinerU__20250913052546,kimi,21
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,kimi,7
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,kimi,31
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,kimi,9
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,kimi,13
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,kimi,8
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,kimi,21
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,kimi,6
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,kimi,9
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,kimi,0
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,kimi,0
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,kimi,0
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,kimi,0
航空电子设备故障预测框架与方法_MinerU__20250913053514,kimi,0
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,kimi,0
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,kimi,0
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,kimi,0
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,kimi,0
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,kimi,0
飞机发动机故障的多参数预测模型_MinerU__20250913053628,kimi,0
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,kimi,0
飞机性能参数预测的不确定性处理_MinerU__20250913053204,kimi,0
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,kimi,0
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,kimi,0
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,kimi,0
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,kimi,0
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,kimi,0
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,kimi,0
飞机空调冷却子系统故障预测_MinerU__20250913053938,kimi,0
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,kimi,0
飞机维修系统的演变_MinerU__20250913053201,kimi,0
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,kimi,0
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,kimi,0
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,kimi,0
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,kimi,0
