filename,total_pairs,intra_sentence_paths,cross_sentence_paths,path_found,no_path_found,aligned_pairs
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法依存路径,12,7,5,19,0,7
基于GA-AANN神经网络的SDQ算法的航空发动机传感器数据预处理依存路径,15,10,5,25,0,10
基于KPCA和DBN的航空发动机排气温度基线模型依存路径,14,8,6,22,0,8
基于LASSO变量选择的航空发动机相似性剩余寿命预测依存路径,9,1,8,10,0,1
基于LSSVM与WNN的燃气轮机状态趋势预测依存路径,8,8,0,16,0,8
基于LSTM分类器的航空发动机预测性维护模型依存路径,11,5,6,16,0,5
基于LSTM循环神经网络的故障时间序列预测依存路径,11,6,5,17,0,6
基于LVQ神经网络的飞机减震器故障预测依存路径,13,5,8,18,0,5
基于MAS的飞机健康管理专家系统设计依存路径,8,7,1,15,0,7
基于PHM的军机备件配置机制依存路径,9,9,0,18,0,9
基于PHM的航空装备可用度影响因素分析方法依存路径,10,10,0,20,0,10
基于QAR数据的飞行控制系统故障研究综述依存路径,24,12,12,36,0,12
基于RF-SVR的燃油计量装置性能衰退检测和剩余寿命估计方法依存路径,13,6,7,19,0,6
基于RFID技术的机载设备维护管理系统依存路径,8,7,1,15,0,7
基于SCADE的航空发动机FADEC软件开发依存路径,13,6,7,19,0,6
基于SMO-SVR的飞机舵面损伤故障趋势预测依存路径,10,10,0,20,0,10
基于SOA的航空发动机健康管理系统设计依存路径,11,10,1,21,0,10
基于SVM方法的APU故障预测方法依存路径,11,6,5,17,0,6
基于UML的民用飞机电源系统设计与实现依存路径,12,6,6,18,0,6
基于UML的航电设备故障诊断与预测系统设计依存路径,7,7,0,14,0,7
基于云计算的飞机PHM体系架构研究依存路径,7,6,1,13,0,6
基于健康监测的飞机结构寿命预测技术依存路径,15,7,8,22,0,7
基于免疫神经网络的航空设备故障预测研究依存路径,7,5,2,12,0,5
基于半监督迁移学习的轴承故障诊断方法依存路径,15,13,2,28,0,13
基于回声状态网络的飞机混沌时间序列预测模型依存路径,8,6,2,14,0,6
基于多因子高阶模糊变动的飞机操纵面故障趋势预测依存路径,12,11,1,23,0,11
基于多尺度LSTM预测模型研究依存路径,12,3,9,15,0,3
基于多层LSTM的复杂系统剩余寿命智能预测依存路径,9,4,5,13,0,4
基于多模型融合的航空电子产品故障预测方法依存路径,15,5,10,20,0,5
基于多深度置信网络融合的航空电子设备故障预测依存路径,15,5,10,20,0,5
基于多状态MOG-HMM和Viterbi的航空发动机突发故障预测依存路径,12,8,4,20,0,8
基于支持向量机回归算法的飞机主油泵故障数预测依存路径,4,4,0,8,0,4
基于改进GRU的航空发动机寿命预测自注意力优化算法依存路径,14,1,13,15,0,1
基于改进混沌神经网络的飞机舵面故障预测研究依存路径,12,12,0,24,0,12
基于数字孪生的飞机起落架健康管理技术依存路径,15,7,8,22,0,7
基于时序分解的飞机平均故障间隔飞行时间组合预测依存路径,12,7,5,19,0,7
基于有源液压测试的电液换向阀泄漏预测理论与应用研究依存路径,6,4,1,9,1,4
基于梯次推理获益原则的故障预测方法依存路径,15,11,4,26,0,11
基于模型的发动机喘振故障关键参量仿真与预测依存路径,8,4,4,12,0,4
基于模态切换的航空发动机容错控制依存路径,13,13,0,26,0,13
基于模糊综合评判的飞机液压泵故障预测依存路径,13,8,5,21,0,8
基于混合驱动的航空发动机气路故障诊断技术综述依存路径,11,6,5,17,0,6
基于灰色理论的172飞机故障预测方法依存路径,13,13,0,26,0,13
基于神经网络技术的飞机舵面故障趋势预测研究依存路径,9,5,4,14,0,5
基于神经网络的军用飞机故障预报系统研究依存路径,8,4,4,12,0,4
基于神经网络的飞机供水系统故障预测研究依存路径,11,6,5,17,0,6
基于神经网络预测模型的歼击机结构故障检测方法依存路径,9,7,2,16,0,7
基于粗糙神经网络的航空电子设备故障预测研究依存路径,9,9,0,18,0,9
基于组合预测法的航空设备故障预测研究依存路径,8,7,1,15,0,7
基于综合PHM方法的导弹维修保障综述依存路径,14,14,0,28,0,14
基于网络的航空产品设计制造服务一体化技术研究依存路径,18,10,8,28,0,10
基于自适应多小波网络预测模型的飞控系统故障诊断仿真研究依存路径,8,6,2,14,0,6
基于蒙特卡罗模拟的航空发动机故障风险预测依存路径,11,11,0,22,0,11
基于融合知识图谱的航空柱塞泵故障预测诊断方法依存路径,17,6,11,23,0,6
基于贝叶斯优化LSTM的发动机剩余寿命预测依存路径,10,5,5,15,0,5
基于逆跟踪控制的航空发动机气路健康参数估计修正方法研究依存路径,14,9,5,23,0,9
基于逻辑图的国产民机液压系统故障诊断与定位依存路径,12,4,8,16,0,4
基于遗传神经网络的航空装备故障预测依存路径,12,8,4,20,0,8
基于部件参数估计的航空发动机故障预测技术研究依存路径,12,12,0,24,0,12
基于静电互相关灵敏度加权的气路碎片监测依存路径,12,5,6,16,1,5
基于马氏距离的航空装备故障预测研究依存路径,10,10,0,20,0,10
多机种一体化故障预测与健康管理技术应用研究依存路径,9,2,3,7,4,2
多电飞机电力系统及其关键技术依存路径,13,5,8,18,0,5
大型客机液压能源系统依存路径,13,2,11,15,0,2
大型客机航电系统综合集成关键技术综述依存路径,18,4,14,22,0,4
大型客机运行监控与健康管理系统设计依存路径,20,11,9,31,0,11
大型客机飞控作动系统配置方案设计依存路径,10,7,3,17,0,7
大型飞机发动机故障智能诊断方法研究与仿真依存路径,15,8,7,23,0,8
大型飞机机载系统预测与健康管理关键技术依存路径,18,11,7,29,0,11
大数据下数模联动的随机退化设备剩余寿命预测技术依存路径,11,11,0,22,0,11
应用于飞机健康管理的数据挖掘方法研究依存路径,6,6,0,12,0,6
开展学术交流  推动试验与测试、预测与故障诊断技术的发展依存路径,11,9,0,18,2,9
改进FBPNN在飞机系统故障预测中的应用依存路径,9,8,1,17,0,8
故障率预测的稀疏直接支持向量回归机方法依存路径,11,11,0,22,0,11
故障预测与健康管理系统建模技术研究依存路径,5,5,0,10,0,5
数字孪生五维模型及十大领域应用依存路径,18,8,10,26,0,8
数字孪生体及其在智慧管网应用的可行性依存路径,19,10,9,29,0,10
数字孪生卫星概念、关键技术及应用依存路径,17,11,6,28,0,11
数据挖掘技术在航空发动机PHM中的应用依存路径,9,9,0,18,0,9
新一代航空电子故障预测与健康管理系统综述依存路径,13,13,0,26,0,13
新一代航空电子综合化及预测与健康管理技术依存路径,8,8,0,16,0,8
无人作战飞机自主控制技术研究依存路径,4,2,2,6,0,2
智能推进NASA推进控制研究进展依存路径,20,11,9,31,0,11
智能航空发动机——本体智能化技术概述依存路径,8,2,6,10,0,2
有人机无人机协同作战机群PHM顶层架构依存路径,10,7,3,17,0,7
机载导弹发射装置PHM系统总体设计依存路径,8,5,3,13,0,5
机载无线传感网络技术的发展与应用依存路径,4,2,2,6,0,2
机载燃油测量系统PHM测试床设计及故障注入实现依存路径,9,9,0,18,0,9
机载航电系统射频信道健康表征及影响评估依存路径,8,8,0,16,0,8
机载预测与健康管理(PHM)系统的体系结构依存路径,8,2,6,10,0,2
某地区民航空勤人员健康状况分析依存路径,19,10,9,29,0,10
民机PHM预测维修模式在空调系统的应用依存路径,12,5,7,17,0,5
民用航空发动机故障诊断与健康管理现状、挑战与机遇Ⅰ：气路、机械和FADEC系统故障诊断与预测依存路径,10,4,6,14,0,4
民用航空发动机故障诊断与健康管理现状、挑战与机遇Ⅱ：地面综合诊断、寿命管理和智能维护维修决策依存路径,10,3,7,13,0,3
民用飞机健康管理决策的不确定性分析依存路径,9,6,3,15,0,6
民用飞机维修间隔风险评估方法研究依存路径,12,12,0,24,0,12
民用飞机高升力系统先进技术及发展依存路径,11,7,4,18,0,7
民航飞机健康维修管理评估系统设计仿真依存路径,11,8,3,19,0,8
涡轴发动机尾气静电监测信号影响因素分析依存路径,13,6,7,19,0,6
温度计量技术在航空发动机试车台健康管理中的应用依存路径,10,6,4,16,0,6
特种飞机综合化任务系统PHM设计与实现依存路径,12,7,5,19,0,7
监视参数预测和故障识别法依存路径,10,5,5,15,0,5
直升机健康管理系统体系结构研究依存路径,11,11,0,22,0,11
第二十一届测试与故障诊断技术研讨会在南昌市举办依存路径,7,7,0,14,0,7
第二十届测试与故障诊断技术研讨会会议报道之三依存路径,8,8,0,16,0,8
第四代战斗机动力技术特征和实现途径依存路径,12,12,0,24,0,12
综合化航空电子的系统管理技术依存路径,8,2,6,10,0,2
综合化航空电子系统PHM应用与设计依存路径,10,6,4,16,0,6
综合化航空电子系统可信软件技术依存路径,15,6,9,21,0,6
综合模块化航空电子系统的故障预测与健康管理技术依存路径,9,3,6,12,0,3
综合航空电子系统故障诊断与健康管理技术发展依存路径,6,5,1,11,0,5
综合航空电子系统故障预测问题研究依存路径,9,4,5,13,0,4
综合飞行器管理系统(IVMS)研究综述依存路径,11,5,6,16,0,5
美军新机的综合诊断技术及启示依存路径,7,6,1,13,0,6
美国故障预测和健康管理技术的军品应用与发展研究依存路径,5,5,0,10,0,5
考虑预测与健康管理的民机维修成本效益仿真评估方法依存路径,13,9,4,22,0,9
航天飞机考虑意外损伤时防热系统的健康管理研究依存路径,8,6,2,14,0,6
航空发动机PHM中的数据挖掘机遇与挑战依存路径,12,6,6,18,0,6
航空发动机健康参数的卡尔曼滤波估计方法分析依存路径,9,8,1,17,0,8
航空发动机健康管理系统功能架构优化方法依存路径,16,10,6,26,0,10
航空发动机健康管理系统功能架构分析与研究依存路径,16,3,13,19,0,3
航空发动机健康管理系统发展现状及其指标体系研究依存路径,5,4,1,9,0,4
航空发动机双余度控制规律设计方法依存路径,9,9,0,18,0,9
航空发动机在线综合诊断结构设计及仿真验证依存路径,14,3,11,17,0,3
航空发动机增强型机载自适应模型气路故障诊断方法依存路径,12,8,4,20,0,8
航空发动机振动监测与故障诊断技术研究进展依存路径,10,4,6,14,0,4
航空发动机机载健康管理系统设计方法依存路径,15,11,4,26,0,11
航空发动机气路故障诊断研究现状与展望依存路径,12,11,1,23,0,11
航空发动机油液磨粒与故障关系RVM预测方法依存路径,17,13,4,30,0,13
航空发动机滑油系统建模、优化及应用研究依存路径,14,10,4,24,0,10
航空发动机的多参数快速故障诊断模型依存路径,10,4,6,14,0,4
航空发动机限寿件使用寿命监视研究依存路径,9,5,4,14,0,5
航空发动机预测健康管理系统设计的关键技术依存路径,15,15,0,30,0,15
航空大数据技术的发展与应用依存路径,7,4,3,11,0,4
航空机电作动器健康管理验证系统研究依存路径,16,16,0,32,0,16
航空燃气涡轮发动机气路故障诊断进展依存路径,19,9,10,28,0,9
航空状态监测传感器技术的发展依存路径,6,2,4,8,0,2
航空电子系统健康管理专家系统的关键技术综述依存路径,3,3,0,6,0,3
航空电子系统故障预测与健康管理技术现状与发展依存路径,12,4,8,16,0,4
航空电子设备故障预测框架与方法依存路径,10,6,4,16,0,6
航空电子设备故障预测特征参数提取方法研究依存路径,16,11,5,27,0,11
航空装备故障风险分析与趋势预测方法依存路径,10,10,0,20,0,10
航空装备预测与健康管理系统的验证方法概述依存路径,10,6,4,16,0,6
航空预测性维修研究进展依存路径,17,2,15,19,0,2
舵面损伤在线故障模式预测及故障检测依存路径,11,4,7,15,0,4
虚拟仪器技术在飞机燃油系统健康监控中的应用依存路径,6,3,3,9,0,3
融合多源异构数据的飞机故障诊断方法研究进展依存路径,12,5,7,17,0,5
轻型飞机健康管理与故障预测的应用依存路径,9,4,5,13,0,4
通航飞机起落架系统故障频率预测研究依存路径,9,5,4,14,0,5
面向MRO的民航发动机拆发日期预测系统依存路径,16,9,7,25,0,9
面向军用飞机任务能力的健康评估方法依存路径,13,7,6,20,0,7
面向服务的装甲装备PHM体系结构研究依存路径,8,8,0,16,0,8
面向自主保障的航空电子设备在线测试系统依存路径,13,13,0,26,0,13
面向飞机PHM的大数据分析与人工智能应用依存路径,16,9,7,25,0,9
面向飞机辅助动力装置在翼剩余寿命预测的性能参数扩增方法依存路径,12,6,6,18,0,6
预测与健康管理技术的发展及应用依存路径,7,7,0,14,0,7
飞机PHM系统故障诊断能力外场验证模型依存路径,13,11,2,24,0,11
飞机供电系统的改进型PHM方案依存路径,8,8,0,16,0,8
飞机健康监测与预测系统的发展及展望依存路径,9,4,5,13,0,4
飞机健康管理平台的客户需求分析与PLM服务资源匹配依存路径,9,6,3,15,0,6
飞机发动机故障的多参数预测模型依存路径,9,7,2,16,0,7
飞机开关磁阻发电系统故障推理模型研究依存路径,11,8,3,19,0,8
飞机性能参数预测的不确定性处理依存路径,14,6,8,20,0,6
飞机操纵面故障的多参数预测模型依存路径,8,5,3,13,0,5
飞机故障预测与健康管理应用模式研究依存路径,11,5,6,16,0,5
飞机故障预测与健康管理框架研究依存路径,11,11,0,22,0,11
飞机机电系统部件数据驱动健康状态在线估计方法综述依存路径,12,8,4,20,0,8
飞机液压泵源预测与健康管理系统依存路径,9,9,0,18,0,9
飞机燃油供油系统性能退化与故障预测依存路径,10,4,6,14,0,4
飞机电源多Agent预测与健康管理系统研究依存路径,6,2,4,8,0,2
飞机电源系统故障诊断方法综述及发展趋势依存路径,14,2,12,16,0,2
飞机电源系统智能BIT的发展及解决方案依存路径,10,10,0,20,0,10
飞机空调冷却子系统故障预测依存路径,12,8,4,20,0,8
飞机结构健康监测与管理技术研究进展和展望依存路径,13,6,7,19,0,6
飞机维修系统的演变依存路径,14,9,5,23,0,9
飞机起落架液压收放系统多故障仿真与健康评估依存路径,9,6,3,15,0,6
飞机远程实时监控的一种方案依存路径,7,6,1,13,0,6
飞行人员亚健康状态的调查及其健康管理策略依存路径,11,4,7,15,0,4
飞行试验数据驱动的涡扇发动机模型辨识依存路径,9,8,1,17,0,8
