论文stem,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,26695,20655,56,27,2.7112,1.3072,0.4821
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,18464,13700,32,23,2.3358,1.6788,0.7188
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,17455,14229,52,37,3.6545,2.6003,0.7115
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,19166,12560,32,27,2.5478,2.1497,0.8438
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,10693,8406,36,24,4.2827,2.8551,0.6667
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,10479,9448,55,33,5.8213,3.4928,0.6000
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,13180,11415,28,16,2.4529,1.4017,0.5714
航空电子设备故障预测框架与方法_MinerU__20250913053514,18838,11643,31,22,2.6625,1.8895,0.7097
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,22854,17022,31,15,1.8212,0.8812,0.4839
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,15316,10923,24,17,2.1972,1.5563,0.7083
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,8157,6623,20,14,3.0198,2.1138,0.7000
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,15607,12540,68,55,5.4226,4.3860,0.8088
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,15298,9533,24,21,2.5176,2.2029,0.8750
飞机发动机故障的多参数预测模型_MinerU__20250913053628,12881,9769,28,14,2.8662,1.4331,0.5000
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,11656,4390,23,16,5.2392,3.6446,0.6957
飞机性能参数预测的不确定性处理_MinerU__20250913053204,21423,16655,28,16,1.6812,0.9607,0.5714
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,6814,6094,28,18,4.5947,2.9537,0.6429
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,36848,30467,36,25,1.1816,0.8206,0.6944
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,13585,10205,18,14,1.7638,1.3719,0.7778
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,13044,11328,37,23,3.2662,2.0304,0.6216
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,43982,36814,42,24,1.1409,0.6519,0.5714
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,6683,5898,31,19,5.2560,3.2214,0.6129
飞机空调冷却子系统故障预测_MinerU__20250913053938,24658,15722,34,16,2.1626,1.0177,0.4706
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,40104,33139,46,31,1.3881,0.9355,0.6739
飞机维修系统的演变_MinerU__20250913053201,5927,5305,35,25,6.5975,4.7125,0.7143
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,12421,9688,36,22,3.7159,2.2709,0.6111
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,5569,3586,29,20,8.0870,5.5772,0.6897
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,8733,5661,34,19,6.0060,3.3563,0.5588
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,14698,11969,26,17,2.1723,1.4203,0.6538
