论文stem,模型,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,deepseek,35271,16090,39,26,2.4239,1.6159,0.6667
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,gemini,35271,16090,36,16,2.2374,0.9944,0.4444
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,kimi,35271,16090,33,34,2.0510,2.1131,1.0303
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,deepseek,24838,20937,22,19,1.0508,0.9075,0.8636
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,gemini,24838,20937,35,23,1.6717,1.0985,0.6571
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,kimi,24838,20937,22,16,1.0508,0.7642,0.7273
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,deepseek,16282,13642,45,28,3.2986,2.0525,0.6222
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,gemini,16282,13642,29,24,2.1258,1.7593,0.8276
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,kimi,16282,13642,22,17,1.6127,1.2462,0.7727
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,deepseek,21460,17794,91,32,5.1141,1.7984,0.3516
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,gemini,21460,17794,70,36,3.9339,2.0232,0.5143
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,kimi,21460,17794,37,32,2.0794,1.7984,0.8649
基于SVM方法的APU故障预测方法_MinerU__20250913052546,deepseek,17800,12737,43,40,3.3760,3.1405,0.9302
基于SVM方法的APU故障预测方法_MinerU__20250913052546,gemini,17800,12737,31,25,2.4339,1.9628,0.8065
基于SVM方法的APU故障预测方法_MinerU__20250913052546,kimi,17800,12737,45,27,3.5330,2.1198,0.6000
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,deepseek,14789,11984,22,17,1.8358,1.4186,0.7727
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,gemini,14789,11984,28,24,2.3364,2.0027,0.8571
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,kimi,14789,11984,14,12,1.1682,1.0013,0.8571
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,deepseek,7012,5963,39,34,6.5403,5.7018,0.8718
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,gemini,7012,5963,39,24,6.5403,4.0248,0.6154
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,kimi,7012,5963,41,37,6.8757,6.2049,0.9024
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,deepseek,11475,9194,15,12,1.6315,1.3052,0.8000
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,gemini,11475,9194,32,24,3.4805,2.6104,0.7500
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,kimi,11475,9194,19,15,2.0666,1.6315,0.7895
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,deepseek,13212,11663,52,45,4.4585,3.8584,0.8654
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,gemini,13212,11663,44,27,3.7726,2.3150,0.6136
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,kimi,13212,11663,27,20,2.3150,1.7148,0.7407
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,deepseek,9471,7487,16,13,2.1370,1.7363,0.8125
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,gemini,9471,7487,31,22,4.1405,2.9384,0.7097
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,kimi,9471,7487,15,13,2.0035,1.7363,0.8667
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,deepseek,26695,20655,63,45,3.0501,2.1786,0.7143
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,gemini,26695,20655,56,27,2.7112,1.3072,0.4821
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,kimi,26695,20655,32,27,1.5493,1.3072,0.8438
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,deepseek,18464,13700,29,17,2.1168,1.2409,0.5862
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,gemini,18464,13700,32,23,2.3358,1.6788,0.7188
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,kimi,18464,13700,16,12,1.1679,0.8759,0.7500
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,deepseek,17455,14229,32,25,2.2489,1.7570,0.7812
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,gemini,17455,14229,52,37,3.6545,2.6003,0.7115
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,kimi,17455,14229,20,14,1.4056,0.9839,0.7000
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,deepseek,19166,12560,26,22,2.0701,1.7516,0.8462
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,gemini,19166,12560,32,27,2.5478,2.1497,0.8438
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,kimi,19166,12560,29,39,2.3089,3.1051,1.3448
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,deepseek,10693,8406,29,25,3.4499,2.9741,0.8621
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,gemini,10693,8406,36,24,4.2827,2.8551,0.6667
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,kimi,10693,8406,28,20,3.3310,2.3793,0.7143
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,deepseek,10479,9448,42,25,4.4454,2.6461,0.5952
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,gemini,10479,9448,55,33,5.8213,3.4928,0.6000
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,kimi,10479,9448,26,23,2.7519,2.4344,0.8846
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,deepseek,13180,11415,50,28,4.3802,2.4529,0.5600
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,gemini,13180,11415,28,16,2.4529,1.4017,0.5714
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,kimi,13180,11415,24,25,2.1025,2.1901,1.0417
航空电子设备故障预测框架与方法_MinerU__20250913053514,deepseek,18838,11643,20,16,1.7178,1.3742,0.8000
航空电子设备故障预测框架与方法_MinerU__20250913053514,gemini,18838,11643,31,22,2.6625,1.8895,0.7097
航空电子设备故障预测框架与方法_MinerU__20250913053514,kimi,18838,11643,22,17,1.8895,1.4601,0.7727
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,deepseek,22854,17022,50,20,2.9374,1.1750,0.4000
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,gemini,22854,17022,31,15,1.8212,0.8812,0.4839
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,kimi,22854,17022,19,17,1.1162,0.9987,0.8947
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,deepseek,15316,10923,21,17,1.9225,1.5563,0.8095
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,gemini,15316,10923,24,17,2.1972,1.5563,0.7083
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,kimi,15316,10923,13,12,1.1901,1.0986,0.9231
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,deepseek,8157,6623,47,23,7.0965,3.4727,0.4894
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,gemini,8157,6623,20,14,3.0198,2.1138,0.7000
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,kimi,8157,6623,14,12,2.1138,1.8119,0.8571
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,deepseek,15607,12540,67,42,5.3429,3.3493,0.6269
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,gemini,15607,12540,68,55,5.4226,4.3860,0.8088
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,kimi,15607,12540,42,38,3.3493,3.0303,0.9048
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,deepseek,15298,9533,34,20,3.5666,2.0980,0.5882
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,gemini,15298,9533,24,21,2.5176,2.2029,0.8750
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,kimi,15298,9533,15,12,1.5735,1.2588,0.8000
飞机发动机故障的多参数预测模型_MinerU__20250913053628,deepseek,12881,9769,17,17,1.7402,1.7402,1.0000
飞机发动机故障的多参数预测模型_MinerU__20250913053628,gemini,12881,9769,28,14,2.8662,1.4331,0.5000
飞机发动机故障的多参数预测模型_MinerU__20250913053628,kimi,12881,9769,20,16,2.0473,1.6378,0.8000
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,deepseek,11656,4390,27,16,6.1503,3.6446,0.5926
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,gemini,11656,4390,23,16,5.2392,3.6446,0.6957
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,kimi,11656,4390,48,24,10.9339,5.4670,0.5000
飞机性能参数预测的不确定性处理_MinerU__20250913053204,deepseek,21423,16655,19,17,1.1408,1.0207,0.8947
飞机性能参数预测的不确定性处理_MinerU__20250913053204,gemini,21423,16655,28,16,1.6812,0.9607,0.5714
飞机性能参数预测的不确定性处理_MinerU__20250913053204,kimi,21423,16655,22,20,1.3209,1.2008,0.9091
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,deepseek,6814,6094,14,10,2.2973,1.6410,0.7143
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,gemini,6814,6094,28,18,4.5947,2.9537,0.6429
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,kimi,6814,6094,17,14,2.7896,2.2973,0.8235
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,deepseek,36848,30467,60,38,1.9693,1.2473,0.6333
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,gemini,36848,30467,36,25,1.1816,0.8206,0.6944
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,kimi,36848,30467,37,21,1.2144,0.6893,0.5676
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,deepseek,13585,10205,19,15,1.8618,1.4699,0.7895
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,gemini,13585,10205,18,14,1.7638,1.3719,0.7778
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,kimi,13585,10205,17,14,1.6659,1.3719,0.8235
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,deepseek,13044,11328,41,28,3.6194,2.4718,0.6829
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,gemini,13044,11328,37,23,3.2662,2.0304,0.6216
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,kimi,13044,11328,35,30,3.0897,2.6483,0.8571
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,deepseek,43982,36814,34,40,0.9236,1.0865,1.1765
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,gemini,43982,36814,42,24,1.1409,0.6519,0.5714
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,kimi,43982,36814,25,32,0.6791,0.8692,1.2800
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,deepseek,6683,5898,27,24,4.5778,4.0692,0.8889
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,gemini,6683,5898,31,19,5.2560,3.2214,0.6129
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,kimi,6683,5898,23,42,3.8996,7.1211,1.8261
飞机空调冷却子系统故障预测_MinerU__20250913053938,deepseek,24658,15722,28,12,1.7809,0.7633,0.4286
飞机空调冷却子系统故障预测_MinerU__20250913053938,gemini,24658,15722,34,16,2.1626,1.0177,0.4706
飞机空调冷却子系统故障预测_MinerU__20250913053938,kimi,24658,15722,17,16,1.0813,1.0177,0.9412
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,deepseek,40104,33139,64,51,1.9313,1.5390,0.7969
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,gemini,40104,33139,46,31,1.3881,0.9355,0.6739
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,kimi,40104,33139,41,26,1.2372,0.7846,0.6341
飞机维修系统的演变_MinerU__20250913053201,deepseek,5927,5305,23,9,4.3355,1.6965,0.3913
飞机维修系统的演变_MinerU__20250913053201,gemini,5927,5305,35,25,6.5975,4.7125,0.7143
飞机维修系统的演变_MinerU__20250913053201,kimi,5927,5305,33,20,6.2205,3.7700,0.6061
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,deepseek,12421,9688,17,14,1.7547,1.4451,0.8235
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,gemini,12421,9688,36,22,3.7159,2.2709,0.6111
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,kimi,12421,9688,22,17,2.2709,1.7547,0.7727
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,deepseek,5569,3586,21,19,5.8561,5.2984,0.9048
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,gemini,5569,3586,29,20,8.0870,5.5772,0.6897
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,kimi,5569,3586,29,29,8.0870,8.0870,1.0000
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,deepseek,8733,5661,22,17,3.8862,3.0030,0.7727
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,gemini,8733,5661,34,19,6.0060,3.3563,0.5588
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,kimi,8733,5661,22,17,3.8862,3.0030,0.7727
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,deepseek,14698,11969,16,14,1.3368,1.1697,0.8750
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,gemini,14698,11969,26,17,2.1723,1.4203,0.6538
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,kimi,14698,11969,17,14,1.4203,1.1697,0.8235
