semantic_pattern,syntactic_key,display_path,count
数据 → 包括 → 参数,punct->punct->prnmod->nn->pobj->rcmod->pobj->prep->root->prep->pccomp->dobj->assmod->pobj->nn->nn,((punct) — )(punct) — QAR(prnmod) — 记录器(nn) — 数据(pobj) — 基于(rcmod) — 类型(pobj) — 针对(prep) — 总结(root) — 为(prep) — 梳理(pccomp) — 现状(dobj) — 对(assmod) — 分析(pobj) — 系统(nn) — 飞机(nn),2
Model → 反映 → 状态,nsubj->cc->vmod->dobj->root->nsubj->nn,模型(nsubj) — 和(cc) — 完备(vmod) — 问题(dobj) — 存在(root) — 方式(nsubj) — 健康(nn),2
方法 → 保证 → 属性,nn->nn->cpm->rcmod->dobj->root->prep->pobj,故障(nn) — 预测(nn) — 的(cpm) — 基于(rcmod) — 研究(dobj) — 进行(root) — 对(prep) — 系统(pobj),2
技术领域 → 包括 → 技术,conj->nn->nsubj->root->prep->pobj->assmod->prnmod->conj,设计(conj) — 强度(nn) — 技术(nsubj) — 提升(root) — 除了(prep) — 贡献(pobj) — 制造(assmod) — 装配(prnmod) — 结构(conj),2
技术领域 → 包含 → 诊断方法,nn->nn->top->root->root->attr->nn,航空(nn) — 发动机(nn) — 管理(top) — 是(root) — 是(root) — 之一(attr) — 方法(nn),2
功能 → 连接 → 系统,assm->nn->conj->assmod->pobj->prep->root->root->conj->prep->pobj->assmod->pobj->nn,的(assm) — 信息(nn) — 交互(conj) — 系统(assmod) — 融合(pobj) — 为(prep) — 提供(root) — 发展(root) — 起到(conj) — 为(prep) — 发展(pobj) — 在(assmod) — 行业(pobj) — 管道(nn),2
Model → 提供技术支撑 → 应用,nn->nsubj,GJB289A(nn) — 总线(nsubj),2
方法 → 基于 → 属性,nsubj,疲劳(nsubj),2
Model → 预测精度高于 → 方法,punct->prnmod->assmod->dobj->pccomp->prep->root->dobj->conj->punct->nn->nn->nn->conj,((punct) — DSVMR(prnmod) — 回归机(assmod) — 稀疏性(dobj) — 改善(pccomp) — 为(prep) — 提出(root) — 方法(dobj) — BP(conj) — )(punct) — 神经(nn) — 网络(nn) — 预测(nn) — 方法(conj),2
技术领域 → 未来发展方向 → 研究方向,nn->nn->nsubj,气路(nn) — 故障(nn) — 诊断(nsubj),2
Model → 判别 → 指标,nn,故障(nn),2
方法 → 应用于 → 应用领域,conj->nn->nsubj->root->prep->pccomp->nsubj->nn,验证(conj) — PHM(nn) — 方法(nsubj) — 成为(root) — 随着(prep) — 迅速(pccomp) — 技术(nsubj) — PHM(nn),2
方法 → 包含 → 设计内容,nn->nsubj->rcmod->dobj->pccomp->root->root->plmod->lobj->rcmod->dobj->nn,设计(nn) — 流程(nsubj) — 清晰(rcmod) — 问题(dobj) — 解决(pccomp) — 为(root) — 在(root) — 上(plmod) — 基础(lobj) — 对比(rcmod) — 体系(dobj) — 功能(nn),2
方法 → 建立 → Model,nsubj,维修(nsubj),2
方法 → 得到 → 分析结果,nn->nn->nn->nn->dobj->root->prep->pobj->rcmod->nsubj,飞机(nn) — 液压泵(nn) — 故障(nn) — 预测(nn) — 方法(dobj) — 提出(root) — 针对(prep) — 难题(pobj) — 预测(rcmod) — 故障(nsubj),2
方法 → 提高 → Performance Metric,nn->assmod->pobj->prep->root->conj->ccomp->dobj->rcmod->cpm->nn,预测(nn) — 方法(assmod) — 不足(pobj) — 针对(prep) — 提出(root) — 表明(conj) — 具有(ccomp) — 精度(dobj) — 高(rcmod) — 的(cpm) — 预测(nn),2
方法 → 提高 → Performance Metric,nn->nn->nsubj->pccomp->prep->root->ccomp->nsubj->assmod->punct->prnmod->punct,静电(nn) — 阵列(nn) — 数目(nsubj) — 受到(pccomp) — 由于(prep) — 导致(root) — 少(ccomp) — 信息数(nsubj) — 系统(assmod) — ((punct) — PHM(prnmod) — )(punct),2
方法 → 校准 → 组件,nn->dobj->nn->nn,校准(nn) — 方法(dobj) — 参数(nn) — 温度(nn),2
架构 → 包含 → 设计,punct->prnmod->nn->nsubj->root->prep->pobj->assmod->lobj->conj,((punct) — PHM(prnmod) — 管理(nn) — 技术(nsubj) — 受到(root) — 作为(prep) — 部分(pobj) — 中(assmod) — 使用(lobj) — 设计(conj),2
概念 → 应用于 → 生命周期阶段,nn->amod->assmod->dobj->dep->root->prep->pccomp->conj->dobj->nn,数字(nn) — 孪生(amod) — 卫星(assmod) — 概念(dobj) — 探讨(dep) — 结合(root) — 为(prep) — 推动(pccomp) — 提升(conj) — 能力(dobj) — 管理(nn),2
模型输入 → 包含 → 数据,nn->dobj->conj->root->root->prep->pccomp->nsubj,输入(nn) — 向量(dobj) — 作为(conj) — 利用(root) — 提出(root) — 针对(prep) — 失效(pccomp) — 密封(nsubj),2
流程 → 包括 → 方法,nn->nn->top->root->root->attr->nn,航空(nn) — 发动机(nn) — 管理(top) — 是(root) — 是(root) — 之一(attr) — 方法(nn),2
状态 → 保障 → 目标,nn->dobj->top->root->attr->rcmod->advmod,健康(nn) — 状态(dobj) — 处于(top) — 是(root) — 前提(attr) — 运行(rcmod) — 安全(advmod),2
状态 → 影响 → 信号,nn->nn->nsubj->rcmod->nsubj->nn->nn->nn,发动机(nn) — 试车台(nn) — 实验(nsubj) — 获得(rcmod) — 信号(nsubj) — 尾气(nn) — 静电(nn) — 监测(nn),2
研究 → 对比 → 方法,dobj->root->root->pccomp->nsubj,研究(dobj) — 进行(root) — 由于(root) — 众多(pccomp) — 变量(nsubj),2
技术 → 关联 → 方法,nn->nn->cpm,航空(nn) — 发动机(nn) — 的(cpm),2
算法 → 估计 → 参数,nn->nn->cpm->rcmod->dobj->root->prep->pobj->nn->nn,卡尔曼(nn) — 滤波(nn) — 的(cpm) — 基于(rcmod) — 方法(dobj) — 研究(root) — 针对(prep) — 问题(pobj) — 健康(nn) — 参数(nn),2
算法 → 采用 → 参数,amod->nn->pobj->assmod->dobj->root->root->dobj->cc->assmod,遗传(amod) — 神经(nn) — 网络(pobj) — 基于(assmod) — 研究(dobj) — 开展(root) — 采用(root) — 变异率(dobj) — 和(cc) — 自适应(assmod),2
算法 → 隔离 → 故障类型,nn->nn->dobj->root->root->prep->pccomp->ccomp->dobj->punct->nn,SDQ(nn) — 算法(nn) — 模型(dobj) — 搭建(root) — 提出(root) — 为(prep) — 实现(pccomp) — 进行(ccomp) — 诊断(dobj) — 、(punct) — 故障(nn),2
体系 → 基于 → 诊断方法,nn,方法(nn),2
系统 → 具有 → 属性,nn->nn->top->root->root->conj->dobj->assmod->assm->nn,飞机(nn) — 电源(nn) — 系统(top) — 是(root) — 具有(root) — 研究(conj) — 技术(dobj) — 系统(assmod) — 的(assm) — 故障(nn),2
系统 → 包含 → 功能模块,cc->nn->nn->nn->conj,与(cc) — 健康(nn) — 管理(nn) — 故障(nn) — 诊断(conj),2
系统 → 包含 → 技术领域,assmod->dobj->root->root->prep->pobj->vmod->amod,系统(assmod) — 需求(dobj) — 面对(root) — 提出(root) — 在(prep) — 方面(pobj) — 控制(vmod) — 综合(amod),2
系统 → 引入 → 方法,nn->nn->nn->nn->dobj->rcmod,飞机(nn) — 健康(nn) — 管理(nn) — 专家(nn) — 系统(dobj) — 基于(rcmod),2
系统 → 识别 → 问题,nn->nn->cpm->amod->nn->dobj->rcmod->dobj->root->dobj->rcmod->dep->dobj->amod,航空(nn) — 电子(nn) — 的(cpm) — 在线(amod) — 测试(nn) — 设备(dobj) — 面向(rcmod) — 系统(dobj) — 提出(root) — 方法(dobj) — 监测(rcmod) — 识别(dep) — 异常(dobj) — 复杂(amod),2
实践 → 涉及 → 实践,assm->amod->pobj->assmod->prep->dobj->root->root->dobj->nn,的(assm) — 预测性(amod) — 维修(pobj) — 基于(assmod) — 向(prep) — 演变(dobj) — 经历(root) — 总结(root) — 情况(dobj) — 实践(nn),2
系统 → 预测 → 事件,nn->nn->nn->dobj->pccomp->prep->ccomp->conj->dep->dobj,直升机(nn) — 健康(nn) — 管理(nn) — 系统(dobj) — 构建(pccomp) — 通过(prep) — 进行(ccomp) — 发现(conj) — 预测(dep) — 故障(dobj),2
组件 → 影响 → 系统,dep->nn->assmod->dobj->root->root->top->nn->nn,电(dep) — 电(nn) — 技术(assmod) — 应用(dobj) — 推进(root) — 是(root) — 系统(top) — 飞机(nn) — 电源(nn),2
组织 → 应储备 → 技术,pobj->prep->conj->nsubj->nn,民机(pobj) — 于(prep) — 应用(conj) — 技术(nsubj) — 智能(nn),2
结构 → 包含 → 测试层级,nn->dobj->conj->pccomp->dobj->assmod,测试(nn) — 成本(dobj) — 降低(conj) — 满足(pccomp) — 可测试性(dobj) — 系统(assmod),2
诊断系统 → 隔离 → 故障,nsubj->rcmod->dobj->root->root->dep->dobj->assmod->nn,系统(nsubj) — 承担(rcmod) — 任务(dobj) — 使得(root) — 监测(root) — 减少(dep) — 潜伏期(dobj) — 隔离(assmod) — 故障(nn),2
技术 → 执行 → 任务,nn->nn->dobj->root->root->dobj->nn,神经(nn) — 网络(nn) — 算法(dobj) — 加入(root) — 提出(root) — 方法(dobj) — 故障(nn),2
领域 → 包含关键技术 → 关键技术,prnmod->nn->dobj->rcmod->cpm->nn,PHM(prnmod) — 管理(nn) — 系统(dobj) — 先进(rcmod) — 的(cpm) — 故障(nn),2
验证方法 → 验证 → 产出物,pobj->nn->nn->dobj->conj->root->root->nsubj,模型(pobj) — 基于(nn) — 开发(nn) — 应用(dobj) — 探索(conj) — 结合(root) — 面临(root) — 开发(nsubj),2
Model → 估计 → 参数,amod->assmod->pobj->prep->root->root->dep->dobj->rcmod->prep->pobj->cc->nn,机载(amod) — 设备(assmod) — 发展(pobj) — 随着(prep) — 使得(root) — 提出(root) — 设计(dep) — 结构(dobj) — 用(rcmod) — 于(prep) — 估计(pobj) — 及(cc) — 参数(nn),2
Model → 使用 → 模型输出,nn->nn->dobj->rcmod->dobj->root->root->conj->conj->dobj->nn,LVQ(nn) — 神经(nn) — 网络(dobj) — 利用(rcmod) — 方法(dobj) — 提出(root) — 利用(root) — 作为(conj) — 作为(conj) — 向量(dobj) — 输出(nn),1
Model → 使用 → 输入,amod->nn->dobj->conj->conj->root->conj->conj->prep->pobj->amod,粗糙(amod) — 神经(nn) — 网络(dobj) — 构造(conj) — 代表(conj) — 开展(root) — 采用(conj) — 为(conj) — 以(prep) — 变量(pobj) — 粗糙(amod),1
Model → 依据 → 属性,nn->nn->dobj->dep->prep->pobj->nn,分层(nn) — 体系(nn) — 模型(dobj) — 给出(dep) — 依据(prep) — 特征(pobj) — 飞机(nn),1
Model → 保持 → Performance Metric,nn->nn->dobj->conj->pccomp->prep->root->root->conj->dobj->rcmod->cpm,故障(nn) — 诊断(nn) — 依赖(dobj) — 降低(conj) — 提高(pccomp) — 为了(prep) — 建立(root) — 结合(root) — 进行(conj) — 预测(dobj) — 快速(rcmod) — 的(cpm),1
Model → 修改 → 方案,amod->pobj->assmod->dobj->root->prep->pobj->rcmod->nsubj->nn,失效(amod) — 模型(pobj) — 基于(assmod) — 方法(dobj) — 提出(root) — 针对(prep) — 问题(pobj) — 超(rcmod) — 次数(nsubj) — 维修(nn),1
Model → 修正 → 参数,nsubj->root->root->conj->conj->dobj,预测(nsubj) — 具有(root) — 具有(root) — 采用(conj) — 修正(conj) — 背景值(dobj),1
Model → 借鉴 → 思想,nsubj,预测(nsubj),1
Model → 借鉴 → 思想,nsubj->conj->root->root->dobj->rcmod->nsubj,预测(nsubj) — 使得(conj) — 表现(root) — 借鉴(root) — 思想(dobj) — 融合(rcmod) — 信息(nsubj),1
Model → 借鉴 → 思想,nsubj->root->root->dobj->rcmod->nsubj,预测(nsubj) — 具有(root) — 借鉴(root) — 思想(dobj) — 融合(rcmod) — 信息(nsubj),1
Model → 借鉴 → 方法,nsubj->rcmod->dobj->amod,预测(nsubj) — 基于(rcmod) — 理论(dobj) — 灰色(amod),1
Model → 具有 → Performance Metric,dobj->dep->root->dep->prep,模型(dobj) — 形成(dep) — 分析(root) — 为(dep) — 以(prep),1
Model → 具有 → Performance Metric,punct->prnmod->nn->dobj->dep->root->prep->pobj->nn,",(punct) — FBPNN(prnmod) — 网络(nn) — 模型(dobj) — 提出(dep) — 展开(root) — 针对(prep) — 问题(pobj) — 预测(nn)",1
Model → 具有 → 特性,nn->nn->nn->dobj->dep->root->root->conj->dobj,小波(nn) — 神经(nn) — 网络(nn) — 模型(dobj) — 提出(dep) — 建立(root) — 起(root) — 表现(conj) — 特性(dobj),1
Model → 具有 → 算法,nn->nn->assmod->dobj->nn,神经(nn) — 网络(nn) — 模型(assmod) — 算法(dobj) — 训练(nn),1
Model → 具有 → 能力,nummod->nn->amod->nn->dobj->rcmod->dobj->root->prep->pobj->nn->nn->nn,多(nummod) — 因子(nn) — 高阶(amod) — 模糊(nn) — 变动(dobj) — 基于(rcmod) — 方法(dobj) — 提出(root) — 针对(prep) — 问题(pobj) — 故障(nn) — 趋势(nn) — 预测(nn),1
Model → 减少 → Performance Metric,nn->nn->dobj->conj->pccomp->prep->root->root->ccomp->dobj->nn,故障(nn) — 诊断(nn) — 依赖(dobj) — 降低(conj) — 提高(pccomp) — 为了(prep) — 建立(root) — 表明(root) — 减少(ccomp) — 时间(dobj) — 计算(nn),1
Model → 减少 → 参数,nn->nn->assmod->dobj->nn,故障(nn) — 推理(nn) — 模型(assmod) — 参数(dobj) — 检测(nn),1
Model → 分析 → 影响,nn->pobj->rcmod->dobj->conj->root->dobj->assmod->pobj->conj,模型(nn) — 贝叶斯(pobj) — 基于(rcmod) — 应用(dobj) — 探讨(conj) — 提出(root) — 方法(dobj) — 基于(assmod) — 案例(pobj) — 影响(conj),1
Model → 分配 → 资源,nn->nsubj->rcmod->pobj->prep->root->dobj->nn->prnmod->punct,资源(nn) — 利用率(nsubj) — 低(rcmod) — 问题(pobj) — 针对(prep) — 提出(root) — 架构(dobj) — 管理(nn) — PHM(prnmod) — ((punct),1
Model → 利用 → 数据,amod->nn->pobj->assmod->dobj->root->prep->pccomp->conj->dobj->assmod,遗传(amod) — 神经(nn) — 网络(pobj) — 基于(assmod) — 研究(dobj) — 开展(root) — 为(prep) — 实现(pccomp) — 实现(conj) — 维修(dobj) — 装备(assmod),1
Model → 利用 → 数据,dobj->rcmod->dobj->root->root->dobj->nn,模型(dobj) — 基于(rcmod) — 方法(dobj) — 提出(root) — 采用(root) — 驱动法(dobj) — 数据(nn),1
Model → 包含 → 模块,nn->nn->dobj->rcmod->prep->pobj->conj->amod->nn,SDQ(nn) — 算法(nn) — 模型(dobj) — 为(rcmod) — 以(prep) — 模块(pobj) — 模块(conj) — 合理性(amod) — 检验(nn),1
Model → 包含 → 模块,nn->nn->dobj->rcmod->prep->pobj->nn->amod->nn,SDQ(nn) — 算法(nn) — 模型(dobj) — 为(rcmod) — 以(prep) — 模块(pobj) — 解析(nn) — 冗余(amod) — 检验(nn),1
Model → 包含 → 模型组件,punct->prnmod->dobj->rcmod->cpm->nn,((punct) — Caps-BiGRU-Attention(prnmod) — 模型(dobj) — 基于(rcmod) — 的(cpm) — 胶囊(nn),1
Model → 包含 → 模型组件,punct->prnmod->dobj->rcmod->dobj->nn,((punct) — Caps-BiGRU-Attention(prnmod) — 模型(dobj) — 基于(rcmod) — 机制(dobj) — 注意力(nn),1
Model → 包含 → 模型组件,punct->prnmod->dobj->root->root->nsubj->nn,((punct) — Caps-BiGRU-Attention(prnmod) — 模型(dobj) — 提出(root) — 用于(root) — 层(nsubj) — BiGRU(nn),1
Model → 包含 → 步骤,nn->nsubj->root->root->conj->dobj->conj->nn,故障(nn) — 预测(nsubj) — 提供(root) — 提出(root) — 包括(conj) — 测试(dobj) — 预处理(conj) — 数据(nn),1
Model → 包含 → 步骤,nn->nsubj->root->root->conj->dobj->nn->nn->conj,故障(nn) — 预测(nsubj) — 提供(root) — 提出(root) — 包括(conj) — 测试(dobj) — 网络(nn) — 模型(nn) — 设计(conj),1
Model → 包含 → 步骤,nn->nsubj->root->root->conj->dobj->punct->conj,故障(nn) — 预测(nsubj) — 提供(root) — 提出(root) — 包括(conj) — 测试(dobj) — 、(punct) — 训练(conj),1
Model → 包含 → 组件,prnmod->punct->dobj->nn->rcmod->dobj->root->root->prep->pobj->nn,LSTM(prnmod) — )(punct) — 分类器(dobj) — 网络(nn) — 基于(rcmod) — 模型(dobj) — 提出(root) — 进行(root) — 通过(prep) — 单元(pobj) — 门控(nn),1
Model → 反映 → 关系,nn,故障(nn),1
Model → 在...上验证 → Dataset,nummod->nn->nn->amod->amod->amod->nn->nn->nn->dobj->root->root->pobj->vmod->nsubj->nn,多(nummod) — 尺度(nn) — 注意力(nn) — 双向(amod) — 长(amod) — 短期(amod) — 记忆(nn) — 神经(nn) — 网络(nn) — 模型(dobj) — 提出(root) — 针对(root) — 挑战(pobj) — 高(vmod) — 维度(nsubj) — 数据(nn),1
Model → 基于 → Model,nn->nsubj->root->root->prep->pobj->amod->nn->nn,GJB289A(nn) — 总线(nsubj) — 用(root) — 构建(root) — 根据(prep) — 模型(pobj) — 有损(amod) — 耦合(nn) — 传输线(nn),1
Model → 基于 → 技术,nn->dobj->dep->root->dep->prep->pobj->nummod->clf->nn->amod->nn,NNARX(nn) — 模型(dobj) — 形成(dep) — 分析(root) — 为(dep) — 以(prep) — 网络(pobj) — 三(nummod) — 层(clf) — 前向(nn) — 人工(amod) — 神经(nn),1
Model → 基于 → 方法,amod->nn->nn->dobj->rcmod->dobj->nn->nn,混沌(amod) — 神经(nn) — 网络(nn) — 模型(dobj) — 基于(rcmod) — 预测(dobj) — 时间(nn) — 序列(nn),1
Model → 基于 → 方法,nn->nn->dobj->rcmod->pccomp->dobj->nn->amod,诊断(nn) — 预测(nn) — 模型(dobj) — 基于(rcmod) — 扩展(pccomp) — 评判(dobj) — 模糊(nn) — 综合(amod),1
Model → 基于 → 方法,nn->nn->nn->dobj->rcmod->dobj->amod->nn,硬件(nn) — 损伤(nn) — 发展(nn) — 模型(dobj) — 基于(rcmod) — 轨道(dobj) — 线性(amod) — 退化(nn),1
Model → 基于 → 方法,nn->nsubj->root->root->dobj->rcmod->dobj->nn->amod->amod->amod,故障(nn) — 预测(nsubj) — 提供(root) — 提出(root) — 方法(dobj) — 基于(rcmod) — 网络(dobj) — 记忆(nn) — 双向(amod) — 长(amod) — 短期(amod),1
Model → 基于 → 机理,nn->lobj->assmod->nsubj->root->root->conj->dvpmod->rcmod->prep->pobj->nn->nn,发动机(nn) — 故障(lobj) — 中(assmod) — 喘(nsubj) — 破坏(root) — 分析(root) — 表征(conj) — 模拟(dvpmod) — 构建(rcmod) — 基于(prep) — 机理(pobj) — 气动(nn) — 热力(nn),1
Model → 基于 → 概率分布,nn->nn->dobj->conj->prep->pobj->nn,故障(nn) — 概率(nn) — 模型(dobj) — 建立(conj) — 以(prep) — 分布(pobj) — 威布尔(nn),1
Model → 基于 → 特性,nummod->nn->amod->nn->dobj->rcmod->dobj->root->prep->dobj->rcmod->cpm,多(nummod) — 因子(nn) — 高阶(amod) — 模糊(nn) — 变动(dobj) — 基于(rcmod) — 方法(dobj) — 提出(root) — 结合(prep) — 特点(dobj) — 表现(rcmod) — 的(cpm),1
Model → 基于 → 理论,nsubj,预测(nsubj),1
Model → 基于 → 理论基础,nn->nn,系统(nn) — 滑油(nn),1
Model → 基于 → 算法,nn->nsubj->rcmod->pobj->prep->root->root->prep->pccomp->dobj->rcmod->dobj->nn,资源(nn) — 利用率(nsubj) — 低(rcmod) — 问题(pobj) — 针对(prep) — 提出(root) — 使得(root) — 通过(prep) — 建立(pccomp) — 模型(dobj) — 基于(rcmod) — 算法(dobj) — 粒子群(nn),1
Model → 基于 → 算法,punct->nn->lobj->prnmod->nn->loc->root->root->conj->dobj->rcmod->dobj,)(punct) — 故障(nn) — 预测(lobj) — APU(prnmod) — 装置(nn) — 时(loc) — 提出(root) — 进行(root) — 建立(conj) — 模型(dobj) — 支持(rcmod) — 向量机(dobj),1
Model → 增加 → Performance Metric,nsubj->assmod->assm->amod,预测(nsubj) — 故障(assmod) — 的(assm) — 准确(amod),1
Model → 处理 → 数据,nsubj->root->root->prep->pobj->nn,预测(nsubj) — 识别(root) — 构建(root) — 针对(prep) — 数据(pobj) — 时序(nn),1
Model → 奠定基础 → Model,nn->nn->assmod->dobj->conj->pccomp->prep->conj->root->top->nn->nn->nn,故障(nn) — 推理(nn) — 模型(assmod) — 参数(dobj) — 减少(conj) — 研究(pccomp) — 为了(prep) — 利用(conj) — 是(root) — 系统(top) — 开关(nn) — 磁阻(nn) — 发电(nn),1
Model → 奠定基础 → 系统,nn->nn->assmod->dobj->conj->pccomp->dobj->nn->nn->nn->nn->nn,故障(nn) — 推理(nn) — 模型(assmod) — 参数(dobj) — 减少(conj) — 研究(pccomp) — 技术(dobj) — 系统(nn) — 飞机(nn) — 供电(nn) — 健康(nn) — 管理(nn),1
Model → 存在 → 问题,punct->prnmod->nn->dobj->dep->root->prep->pobj,",(punct) — FBPNN(prnmod) — 网络(nn) — 模型(dobj) — 提出(dep) — 展开(root) — 针对(prep) — 问题(pobj)",1
Model → 完成 → 任务,nn->nn->dobj->dep->conj->dobj->assmod->nn,预测(nn) — 模型(nn) — GM(dobj) — 建立(dep) — 完成(conj) — 预测(dobj) — 设备(assmod) — 飞机(nn),1
Model → 实现 → 任务,amod->nn->pobj->assmod->dobj->nn->nn,遗传(amod) — 神经(nn) — 网络(pobj) — 基于(assmod) — 研究(dobj) — 故障(nn) — 预测(nn),1
Model → 实现 → 任务,nn->nn->dobj->conj->root->root->dobj->nn->nn,免疫(nn) — 神经(nn) — 网络(dobj) — 得到(conj) — 采用(root) — 开展(root) — 研究(dobj) — 故障(nn) — 预测(nn),1
Model → 实现 → 功能,cc->nsubj->vmod->dobj->root->root->dobj->assmod->nn,和(cc) — 模型(nsubj) — 完备(vmod) — 问题(dobj) — 存在(root) — 开展(root) — 研究(dobj) — 驱动(assmod) — 数字(nn),1
Model → 实现 → 功能,nn->nn->cpm->rcmod->dobj->conj->root->dobj->rcmod->prep->pobj->nn->amod->nn,AANN(nn) — 神经(nn) — 的(cpm) — 优化(rcmod) — 网络(dobj) — 利用(conj) — 搭建(root) — 模型(dobj) — 为(rcmod) — 以(prep) — 模块(pobj) — 解析(nn) — 冗余(amod) — 检验(nn),1
Model → 实现 → 功能,nn->nsubj->root->root->prep->pccomp->dobj->nn->nn,GJB289A(nn) — 总线(nsubj) — 用(root) — 构建(root) — 为了(prep) — 分析(pccomp) — 特性(dobj) — 电气(nn) — 故障(nn),1
Model → 对比 → Model,dep->dvpm,预测(dep) — 地(dvpm),1
Model → 导致 → 技术问题,nn->amod->dobj->dep->root->ccomp->nsubj,模型(nn) — 常规(amod) — 训练(dobj) — 采用(dep) — 导致(root) — 消失(ccomp) — 梯度(nsubj),1
Model → 应用于 → 任务,nsubj->assmod->nn,预测(nsubj) — 故障(assmod) — 操纵面(nn),1
Model → 应用于 → 应用,dobj->dep->root->prep->pccomp->dobj->amod,模型(dobj) — 形成(dep) — 分析(root) — 为(prep) — 实现(pccomp) — 监控(dobj) — 实时(amod),1
Model → 应用于 → 应用领域,amod->nn->dobj->conj->conj->root->dobj->nn->nn->nn->nn,粗糙(amod) — 神经(nn) — 网络(dobj) — 构造(conj) — 代表(conj) — 开展(root) — 研究(dobj) — 故障(nn) — 设备(nn) — 航空(nn) — 电子(nn),1
Model → 应用于 → 应用领域,dvpm->dvpmod->dep->dobj->assmod->assm->nn,地(dvpm) — 有效(dvpmod) — 预测(dep) — 数据(dobj) — 阶段(assmod) — 的(assm) — 故障(nn),1
Model → 应用于 → 应用领域,nn->nsubj->root->prep->pobj->rcmod->dobj->nn->amod,数字(nn) — 孪生(nsubj) — 备受(root) — 作为(prep) — 手段(pobj) — 践行(rcmod) — 理念(dobj) — 城市(nn) — 智慧(amod),1
Model → 应用于 → 应用领域,nn->nsubj->root->prep->pobj->rcmod->dobj->nn->conj,数字(nn) — 孪生(nsubj) — 备受(root) — 作为(prep) — 手段(pobj) — 践行(rcmod) — 理念(dobj) — 城市(nn) — 制造(conj),1
Model → 应用于 → 应用领域,nn->nsubj->root->root->conj->dobj->assmod->pobj->nn->conj,数字(nn) — 孪生(nsubj) — 备受(root) — 结合(root) — 探讨(conj) — 方案(dobj) — 在(assmod) — 领域(pobj) — 城市(nn) — 医疗(conj),1
Model → 应用于 → 应用领域,nn->nsubj->root->root->conj->dobj->assmod->pobj->nn->conj,数字(nn) — 孪生(nsubj) — 备受(root) — 结合(root) — 探讨(conj) — 方案(dobj) — 在(assmod) — 领域(pobj) — 城市(nn) — 发电厂(conj),1
Model → 应用于 → 应用领域,nn->nsubj->root->root->conj->dobj->assmod->pobj->nn->conj,数字(nn) — 孪生(nsubj) — 备受(root) — 结合(root) — 探讨(conj) — 方案(dobj) — 在(assmod) — 领域(pobj) — 城市(nn) — 船舶(conj),1
Model → 应用于 → 应用领域,nn->nsubj->root->root->conj->dobj->assmod->pobj->nn->conj,数字(nn) — 孪生(nsubj) — 备受(root) — 结合(root) — 探讨(conj) — 方案(dobj) — 在(assmod) — 领域(pobj) — 城市(nn) — 车辆(conj),1
